Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ARGA05010,audi,Audi Zentrum Pilar,"Avenida Panamericana 46,8 Km., 1629 Pilar - Buenos Aires",Pilar - Buenos Aires,Buenos Aires,,AR,+54 2322 30-0300,,,Audi,Q23317
40104,starbucks_ar_cl,Hospital Austral,,Buenos Aires,Buenos Aires,,AR,,https://www.starbucks.com.ar/stores,Mo-Fr 07:00-19:30; Sa-Su 00:00-00:00,Starbucks,Q37158
40038,starbucks_ar_cl,Las Palmas,,Pilar,Buenos Aires,,AR,,https://www.starbucks.com.ar/stores,Mo-Th 08:00-20:00; Fr 08:00-21:00; Sa 09:00-21:00; Su 09:00-20:00,Starbucks,Q37158
40022,starbucks_ar_cl,Champagnat,,Pilar,Buenos Aires,,AR,,https://www.starbucks.com.ar/stores,Mo-Sa 08:00-20:00; Su 09:00-20:00,Starbucks,Q37158
643f6c348b7218618cabb8c77dfc37ef,western_union,C.S. CARREFOUR PILAR,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/643f6c348b7218618cabb8c77dfc37ef,Mo-Fr 09:00-19:00; Sa 10:00-14:00,Western Union,Q861042
f0eef7ce1e417588aff767c457c360ab,western_union,C.S. PILAR,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/f0eef7ce1e417588aff767c457c360ab,Mo-Fr 09:00-18:00; Sa 09:00-14:00,Western Union,Q861042
d96cba7954dd94638089fbed0ba4d93d,western_union,LOCUTORIO PILAR,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/d96cba7954dd94638089fbed0ba4d93d,Mo-Fr 09:00-18:00,Western Union,Q861042
6356cfa9a4386cd3a5ca841189e21eb9,western_union,C.S. CARREFOUR PILAR (MARKET),,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/6356cfa9a4386cd3a5ca841189e21eb9,Mo-Fr 10:00-19:00; Sa 10:00-17:00,Western Union,Q861042
a850666e8bced47bdef30fbd24f96945,western_union,TODO SERVICIOS 4,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/a850666e8bced47bdef30fbd24f96945,Mo-Fr 08:30-18:30; Sa 08:30-14:00,Western Union,Q861042
c86fba5caa16e156b2e4226f9534f32f,western_union,C.S. PILAR II,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/c86fba5caa16e156b2e4226f9534f32f,Mo-Fr 08:00-18:00; Sa 09:00-12:30,Western Union,Q861042
858119a9d6bcdb4517127cbd22a7a8bd,western_union,ECT SERVICIOS POINT,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/858119a9d6bcdb4517127cbd22a7a8bd,Mo-Fr 09:00-19:00; Sa 09:00-13:00,Western Union,Q861042
9eec57f2239d7cd061dab2c3592d5b1e,western_union,AGBL LA MARY,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/9eec57f2239d7cd061dab2c3592d5b1e,Mo-Fr 09:00-21:30,Western Union,Q861042
66f60a517fc3423ceafb601f11022678,western_union,SERVICIOS TORRES DEL SOL,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/66f60a517fc3423ceafb601f11022678,Mo-Fr 09:00-18:00,Western Union,Q861042
24b7f927f5a03c6c36e5acba6563d173,western_union,NSA AR VILLA ASTOLFI,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/24b7f927f5a03c6c36e5acba6563d173,Mo-Fr 09:00-21:00; Sa-Su 08:00-21:00,Western Union,Q861042
86725bcedb1d0c7c5875952a2f533a61,western_union,SERVICIOS IBIS,,Almirante Irizar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/almirante-irizar/86725bcedb1d0c7c5875952a2f533a61,Mo-Fr 09:00-15:00,Western Union,Q861042
daab14ecf1f495351b20c1247a560855,western_union,SIMPLE SERVICIOS,,Pilar,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/pilar/daab14ecf1f495351b20c1247a560855,Mo-Fr 09:00-16:00; Sa 10:00-12:30,Western Union,Q861042
79b81336866fa8de3452d368f5641279,western_union,HOSSANNA CASA Y JARDIN,,La Tablada,BUENOS AIRES,,AR,+54 810-444-1000,https://location.westernunion.com/ar/buenos-aires/la-tablada/79b81336866fa8de3452d368f5641279,Mo-Fr 08:00-19:00,Western Union,Q861042
