Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
,visa,,,MODLING,NIEDEROSTERREICH,,AT,,,,,
