Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,TRAUN,OBEROSTERREICH,,AT,,,,,
,visa,,,ST. MARTIN,OBEROSTERREICH,,AT,,,,,
