Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
00-6235,billa,BILLA AG FIL. 6235,,Leoben,Steiermark,,AT,+43 59 9150 6235,,Mo-Fr 07:00-19:10; Sa 07:00-18:00,BILLA,Q537781
00-6480,billa,BILLA AG FIL. 6480,,Leoben,Steiermark,,AT,+43 59 9150 6480,,Mo-Fr 06:45-19:00; Sa 07:15-18:00,BILLA,Q537781
00-6916,billa,BILLA AG FIL. 6916,,Leoben,Steiermark,,AT,+43 59 9150 6916,,Mo-Fr 07:00-19:10; Sa 07:00-18:00,BILLA,Q537781
00-6605,billa,BILLA PLUS FIL. 6605,,Leoben-Leitendorf,Steiermark,,AT,+43 59 9150 6605,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
6131,bipa_at,BIPA Filiale 6131,,Leoben,Steiermark,,AT,+43 59 9130 6131,,Mo-Fr 09:00-19:00; Sa 09:00-18:00,Bipa,Q864933
6870,bipa_at,BIPA Filiale 6870,,Leoben,Steiermark,,AT,+43 59 9130 6870,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Bipa,Q864933
6849,bipa_at,BIPA Filiale 6849,,Leoben,Steiermark,,AT,+43 3842 21180,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Bipa,Q864933
55186053,deichmann,DEICHMANN Filiale Leoben Zirkusstraße 18,,Leoben,Steiermark,,AT,+43 3842 29542,https://stores.deichmann.com/at-de/at/steiermark/leoben/zirkusstrasse-18,Mo-Fr 09:00-18:30; Sa 09:00-17:00,Deichmann,Q664543
55184827,deichmann,DEICHMANN Filiale Leoben Hauptplatz 19,,Leoben,Steiermark,,AT,+43 3842 48151,https://stores.deichmann.com/at-de/at/steiermark/leoben/hauptplatz-19,Mo-Fr 09:00-18:30; Sa 09:00-18:00,Deichmann,Q664543
AT0162,hm,Leoben City Shopping,,Leoben,Steiermark,,AT,+43 800 6655900,,Mo-Fr 09:00-18:30; Sa 09:00-18:00,H&M,Q188326
78-6652,penny,PENNY,,Leoben,Steiermark,,AT,,,,Penny,Q284688
LEP,storebox,Storebox Leoben,"Pestalozzistraße 69, 8700 Donawitz, Österreich ",Donawitz,Steiermark,,AT,,https://www.yourstorebox.com/en/location-details/storebox-leoben,,Storebox,Q117430004
1193,tedi,TEDi Warenhandels GmbH,,Leoben,Steiermark,,AT,+43 3842 23807,https://www.tedi.com/stores/1193/at/Steiermark/Leoben/Kaerntner-Strasse-315,Mo-Sa 00:00-24:00,TEDi,Q1364603
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN-GOSS,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
,visa,,,LEOBEN,STEIERMARK,,AT,,,,,
