Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
00-1014,billa,BILLA PLUS FIL. 1014,,Wien,Wien,,AT,+43 59 9150 1014,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-1028,billa,BILLA PLUS FIL. 1028,,Wien,Wien,,AT,+43 59 9150 1028,,Mo-Fr 07:30-19:50; Sa 07:40-18:00,BILLA,Q537781
00-2741,billa,BILLA PLUS FIL. 2741,,Wien,Wien,,AT,+43 59 9150 2741,,Mo-Fr 07:40-20:00; Sa 07:40-18:00,BILLA,Q537781
00-2174,billa,BILLA AG FIL. 2174,,Wien,Wien,,AT,+43 59 9150 2174,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-36,billa,BILLA AG FIL. 36,,Wien,Wien,,AT,+43 2236 6005836,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-2920,billa,BILLA PLUS FIL. 2920,,Wien,Wien,,AT,+43 59 9150 2920,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-1006,billa,BILLA PLUS FIL. 1006,,Wien,Wien,,AT,+43 59 9150 1006,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-1005,billa,BILLA PLUS FIL. 1005,,Wien,Wien,,AT,+43 59 9150 1005,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
E0-2154,billa,BILLA WIPPRECHT OG,,Wien,Wien,,AT,+43 59 9155 2154,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-1208,billa,BILLA AG FIL. 1208,,Wien,Wien,,AT,+43 59 9150 1208,,Mo-Fr 07:15-19:30; Sa 07:15-18:00,BILLA,Q537781
00-2173,billa,BILLA PLUS FIL. 2173,,Wien,Wien,,AT,+43 59 9150 2173,,Mo-Fr 07:30-19:50; Sa 07:40-18:00,BILLA,Q537781
