Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
at:932,dm,dm drogerie markt GmbH,,Mödling,,,AT,+43 2236 864787,https://www.dm.at/store/a1ek/moedling/hauptstrasse-55,Mo-Fr 08:00-19:00; Sa 08:00-17:00,dm,Q266572
A339,hofer_at,TRU-29,"Hauptstraße 2, Mödling, 2340",Mödling,,,AT,+43 57 0303 3029,https://www.hofer.at/,Mo-Fr 07:40-20:00,Hofer,Q15815751
458,lidl_at,Lidl,,Mödling,,,AT,,,Mo-Fr 07:40-20:00; Sa 07:40-18:00,Lidl,Q151954
74102701,moneygram,HANDY CARE - MOEDLING,,MOEDLING,,,AT,+43 660 5416082,,Mo-Sa 10:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
ATH02340,neuroth,Neuroth,"Schrannenplatz 4, 2340 Mödling, AT",Mödling,,,AT,+43 2236 22075,https://at.neuroth.com/filialen/schrannenplatz-4-moedling/,"Mo-Fr 09:00-12:45,13:30-18:00",Neuroth,Q15836645
AT.8732.8,omv,Avanti,,Mödling,,,AT,+43 800 202055,,24/7,Avanti,Q168238
439-00132,skoda,Schiller GmbH,,,,,AT,,,,Skoda,Q29637
AT_6856,totalenergies,WIENER NEUDORF,,Modling,,,AT,,https://store.totalenergies.fr/en_EN/AT_6856,,AS 24,Q2819394
AT_6869,totalenergies,WIENER NEUDORF 2,,Modling,,,AT,,https://store.totalenergies.fr/en_EN/AT_6869,,AS 24,Q2819394
N970857,united_colors_of_benetton,Benetton Moedling,,MOEDLING,,,AT,+43 2236 41929,,"Mo-Fr 09:00-13:00,14:00-18:00; Sa 09:00-13:00",United Colors of Benetton,Q817139
