Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
AU-1285,anytime_fitness,Anytime Fitness,,Lanyon,ACT,,AU,+61 404 528 844,https://anytimefitness.com.au/gyms/au-1285/lanyon-act-2906/,,Anytime Fitness,Q4778364
RED0006105,australia_post_au,,,BANKS,ACT,,AU,,,,Australia Post,Q1142936
269720_PO,australia_post_au,LANYON LPO,,CONDER,ACT,,AU,+61 131318,,,Australia Post,Q1142936
RED0006108,australia_post_au,,,CONDER,ACT,,AU,,,,Australia Post,Q1142936
RED0006107,australia_post_au,,,GORDON,ACT,,AU,,,,Australia Post,Q1142936
2385,bakers_delight,Bakers Delight Lanyon,,Conder,ACT,,AU,+61 2 6242 9046,https://www.bakersdelight.com.au/bakery-locator/lanyon/,Mo-Su 07:00-19:00,Bakers Delight,Q4849261
62836,cellarbrations_au,CELLARBRATIONS AT LANYON CORKS LIQUOR,,CONDER,ACT,,AU,+61 2 6284 7000,,Mo-We 10:00-20:00; Th 10:00-21:00; Fr-Sa 10:00-22:00; Su 10:00-20:00,Cellarbrations,Q109807592
4dec6b5f5dc52d2f6100000d,crust_au,Conder,4/17 Sidney Nolan Street Conder ACT 2906,Conder,ACT,,AU,+61 2 6284 9111,https://www.crust.com.au/stores/act/conder,Mo-We 17:00-22:00; Th-Su 16:00-22:00,Crust,Q100792715
5708,hungry_jacks,Conder,,Conder,ACT,,AU,61098093,,,Hungry Jack's,Q3036373
9500918,mcdonalds_qstore,CONDER ACT,,Conder,ACT,,AU,+61 2 6294 5533,,24/7,McDonald's,Q38076
307,m_j_bale_au,DFO Canberra ACT,,Fyshwick,ACT,,AU,+61 2 9137 4972,,Mo-Su 10:00-18:00,M.J. Bale,Q97516243
,visa,,,BANKS,ACT,,AU,,,,,
,visa,,,BANKS,ACT,,AU,,,,,
,visa,,,CONDER,ACT,,AU,,,,,
d46aa6016348425a5afefaa1745d19bc,western_union,AUSTRALIA POST,,Conder,ACT,,AU,+61 1800 501 500,https://location.westernunion.com/au/act/conder/d46aa6016348425a5afefaa1745d19bc,Mo-Fr 09:00-17:00; Sa 09:00-12:30,Western Union,Q861042
