Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
247628_PO,australia_post_au,WANAARING LPO,,WANAARING,NSW,,AU,+61 2 6874 7720,,,Australia Post,Q1142936
RED0006000,australia_post_au,,,WANAARING,NSW,,AU,,,,Australia Post,Q1142936
270801_PO,australia_post_au,BOURKE LPO,,BOURKE,NSW,,AU,+61 2 6872 2017,,,Australia Post,Q1142936
RED0005999,australia_post_au,,,BOURKE,NSW,,AU,,,,Australia Post,Q1142936
281340_PO,australia_post_au,ENNGONIA CPA,,ENNGONIA,NSW,,AU,+61 2 6874 7577,,,Australia Post,Q1142936
9041,bp,BP OPT BOURKE,,BOURKE,NSW,,AU,+61 2 6872 2357,,24/7,BP,Q152057
8005,bp,BP BOURKE (FRANKS),,BOURKE,NSW,,AU,+61 2 6872 2357,,Mo-Sa 04:30-20:00; Su 05:30-20:00,BP,Q152057
251001,commonwealth_bank_au,Bourke,,Bourke,NSW,,AU,,,,Commonwealth Bank,Q285328
https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/yanda-campground,nsw_national_parks_and_wildlife_service_au,Yanda campground,,Gunderbooka,NSW,,AU,+61 2 6830 0200,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/yanda-campground,24/7,,
https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/dry-tank-campground,nsw_national_parks_and_wildlife_service_au,Dry Tank campground,,Gunderbooka,NSW,,AU,+61 2 6830 0200,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/dry-tank-campground,24/7,,
https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/darling-river-campground-yapara-paaka-thuru,nsw_national_parks_and_wildlife_service_au,Darling River campground (Yapara Paaka Thuru),,Gumbalie,NSW,,AU,+61 2 6830 0200,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/darling-river-campground-yapara-paaka-thuru,24/7,,
https://www.nationalparks.nsw.gov.au/camping-and-accommodation/accommodation/redbank-homestead,nsw_national_parks_and_wildlife_service_au,Redbank Homestead,,Gunderbooka,NSW,,AU,+61 2 6830 0200,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/accommodation/redbank-homestead,24/7,,
https://www.nationalparks.nsw.gov.au/camping-and-accommodation/accommodation/belah-shearers-quarters,nsw_national_parks_and_wildlife_service_au,Belah Shearers' Quarters,,Gunderbooka,NSW,,AU,+61 2 6830 0200,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/accommodation/belah-shearers-quarters,24/7,,
2628,toyworld_au,Toyworld Bourke,,Bourke,NSW,,AU,+61 2 6872 2866,https://www.toyworld.com.au/pages/toyworld-bourke,Mo-Fr 09:00-17:00; Sa 09:30-12:30; Su 09:00-12:00,Toyworld,Q95923071
1f1c16e20058f8709f0bbfc227b04f39,western_union,AUSTRALIA POST,,Bourke,NSW,,AU,+61 1800 501 500,https://location.westernunion.com/au/nsw/bourke/1f1c16e20058f8709f0bbfc227b04f39,Mo-Fr 09:00-17:00,Western Union,Q861042
