Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://store.aldi.com.au/#25406486,aldi_sud_au,ALDI Wollongong,,,New South Wales,,AU,+61 132534,https://store.aldi.com.au/nsw/wollongong/25-stewart-street,"Mo-We 08:30-19:00,08:30-20:00; Th 08:30-20:00; Fr-Su 08:30-19:00,08:30-20:00",ALDI,Q41171672
928,angus_and_coote_au,Wollongong,200 Crown Street Wollongong NSW 2500,Wollongong,New South Wales,,AU,+61 2 4228 8477,https://www.anguscoote.com.au/stores/wollongong,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Angus & Coote,Q18162112
AUSA25000,audi,Audi Centre Wollongong,"188-194 Corrimal Street, Wollongong 2500",Wollongong,New South Wales,,AU,+61 2 4254 2000,,,Audi,Q23317
https://www.avis.com/en/locations/au/ns/wollongong/wo5,avis,Avis Australia Wollongong,,Wollongong,New South Wales,,AU,+61 2 4251 1311,https://www.avis.com/en/locations/au/ns/wollongong/wo5,Mo-Fr 08:00-17:00; Sa-Su 08:00-11:00,Avis,Q791136
https://www.avis.com/en/locations/au/ns/wollongong/wll,avis,Avis Australia Wollongong,,Wollongong,New South Wales,,AU,+61 2 4251 1311,https://www.avis.com/en/locations/au/ns/wollongong/wll,Mo-Fr 08:00-17:00; Sa-Su 08:00-11:00,Avis,Q791136
1140,carpet_court_au,South Coast Carpet Court,,Wollongong,New South Wales,,AU,+61 2 4229 8300,https://www.carpetcourt.com.au/stores/nsw/wollongong,Mo-Fr 09:00-17:30; Sa 09:00-14:00,Carpet Court,Q117156437
92,hairhouse_au,Hairhouse Wollongong,,Wollongong,New South Wales,,AU,+61 2 4225 3800,https://www.hairhouse.com.au/stores/wollongong,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:30; Su 10:00-16:00,Hairhouse,Q118383855
AU0022,hm,Wollongong Central,,Wollongong,New South Wales,,AU,+61 1300 401 300,,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-17:00; Su 10:00-16:00,H&M,Q188326
GS00109843,mercedes_benz,Wollongong City Motors Pty Ltd,,North Wollongong,New South Wales,,AU,+61 1300 035 297,,,Mercedes-Benz,Q36008
GS0031166,mercedes_benz,Wollongong City Motors Pty Ltd,,North Wollongong,New South Wales,,AU,+61 2 4222 7900,http://www.mbwollongong.com.au,Mo-Sa 09:00-17:00,Mercedes-Benz,Q36008
32865b61-3f25-49d6-90c2-60f9626b968e,nike,Nike Wollongong,,Wollongong,New South Wales,,AU,+61 2 4077 3759,https://www.nike.com/retail/s/nike-wollongong,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Nike,Q483915
870,ray_white_au_nz,Ray White Wollongong,,North Wollongong,New South Wales,,AU,+61 2 4226 9000,http://raywhitewollongong.com.au,,Ray White,Q81077729
CN-148,retail_apparel_group,Connor Wollongong,"Shop GD N0033B, Wollongong Central Plaza, 200 Crown Street",Wollongong,New South Wales,,AU,+61 2 7923 5655,https://www.connor.com.au/au/store/wollongong,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Connor,Q113468988
8796390227991,thebodyshop,Wollongong,,Wollongong,New South Wales,,AU,,https://www.thebodyshop.com/en-au/store-details/wollongong/6676,,The Body Shop,Q837851
,visa,,,WOLLONGONG,NEW SOUTH WALES,,AU,,,,,
