Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
968,angus_and_coote_au,Caneland,"SH GD084 Caneland S/C, Cnr Victoria & Mangrove Rds Mackay QLD 4740",Mackay,Queensland,,AU,+61 7 4953 5344,https://www.anguscoote.com.au/stores/caneland,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Angus & Coote,Q18162112
https://www.avis.com/en/locations/au/ql/mackay/m20,avis,Avis Australia Mackay Airport,,Mackay,Queensland,,AU,+61 2 9353 9000,https://www.avis.com/en/locations/au/ql/mackay/m20,Mo-Fr 07:30-20:45; Sa 07:30-19:45; Su 08:00-21:45,Avis,Q791136
https://www.avis.com/en/locations/au/ql/mackay/mky,avis,Avis Australia Mackay Airport,,Mackay,Queensland,,AU,+61 2 9353 9000,https://www.avis.com/en/locations/au/ql/mackay/mky,Mo-Fr 07:30-20:45; Sa 07:30-19:45; Su 08:00-21:45,Avis,Q791136
446,fantastic_furniture_au,Mackay,"Home Consortium, Corner Mackay-Bucasia and Holts Road, Mackay, Queensland, 4740",Mackay,Queensland,,AU,+61 7 4942 9292,,Mo-Fr 09:00-17:30; Sa 09:00-17:00; Su 09:00-16:00,Fantastic Furniture,Q18164803
42MA,forty_winks_au,Forty Winks Mackay,,Mount Pleasant,Queensland,,AU,+61 7 4942 7000,https://www.fortywinks.com.au/store-finder/fn-qld/mackay,Mo-Fr 09:00-17:00; Sa 09:00-16:00; Su 10:00-15:00,Forty Winks,Q106283438
100,hairhouse_au,Hairhouse Caneland,,Mackay,Queensland,,AU,+61 7 4957 2712,https://www.hairhouse.com.au/stores/mackay,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Hairhouse,Q118383855
GS0046638,mercedes_benz,NORTH JACKLIN PTY LTD,,Mackay,Queensland,,AU,+61 7 4963 2200,http://www.mbnorthjacklin.com.au,Mo-Fr 08:00-17:00; Sa 08:00-12:00,Mercedes-Benz,Q36008
88,novo_au,Novo Canelands,,MacKay,Queensland,,AU,+61 7 4957 7441,,,NOVO,Q120669012
JB-307,retail_apparel_group,Johnny Bigg Mackay,"Shop L01 - 2550, Canelands Central, Mangrove Road & Victoria Street",Mackay,Queensland,,AU,+61 7 3515 0462,https://www.johnnybigg.com.au/au/store/mackay,Mo-Tu 10:00-16:00; We 09:00-16:00; Th 09:00-19:00; Fr-Sa 09:00-16:00; Su 10:00-16:00,Johnny Bigg,Q113469024
YD-419,retail_apparel_group,yd. Mackay,"Shop 2542, Caneland Central, Cnr Victoria Street And Mangrove Road",Mackay,Queensland,,AU,+61 7 3515 0465,https://www.yd.com.au/au/store/mackay,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,yd.,Q113469019
RW-309,retail_apparel_group,Rockwear Mackay,"Shop GD 2054-2055, Caneland Central, Mangrove Rd &Victoria St",Mackay,Queensland,,AU,+61 7 3515 0463,https://www.rockwear.com.au/store/mackay,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Rockwear,Q113469029
TC-317,retail_apparel_group,Tarocash Mackay,2455/2 Mangrove Road,Mackay,Queensland,,AU,+61 7 3515 0464,https://www.tarocash.com.au/au/store/mackay,Mo-We 09:00-17:30; Th 09:00-21:00; Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Tarocash,Q7686519
CN-310,retail_apparel_group,Connor Mackay Caneland,"Shop L01-2540-41 Caneland Central , CNR Victoria St and Mangrove Road",Mackay,Queensland,,AU,+61 7 3515 0461,https://www.connor.com.au/au/store/mackay-caneland,Mo-Fr 09:00-17:30; Sa 09:00-16:00; Su 10:00-16:00,Connor,Q113468988
2456,snap_fitness,Mackay Central,"Caneland Central Shopping Centre, Shop 2512, Level One,
2 Mangrove Road",Mackay,Queensland,,AU,+61 421 686 866,https://www.snapfitness.com/au/gyms/mackay,24/7,Snap Fitness,Q7547254
8796389769239,thebodyshop,Mackay,,Mackay,Queensland,,AU,,https://www.thebodyshop.com/en-au/store-details/mackay/6396,,The Body Shop,Q837851
635,total_tools_au,Total Tools Mackay,,Paget,Queensland,,AU,+61 7 4963 9500,https://www.totaltools.com.au/storelocator/mackay,Mo-Fr 07:00-17:30; Sa 08:00-16:00; Su 09:00-14:00,Total Tools,Q116779059
,visa,,,MOUNT PLEASANT,QUEENSLAND,,AU,,,,,
,visa,,,MACKAY,QUEENSLAND,,AU,,,,,
,visa,,,MACKAY,QUEENSLAND,,AU,,,,,
,visa,,,RURAL VIEW,QUEENSLAND,,AU,,,,,
