Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1047887,alamo,Coober Pedy Airport,,Coober Pedy,SA,,AU,+61 1300 106 666,,,ALAMO,Q1429287
RED0017512,australia_post_au,,,COOBER PEDY,SA,,AU,,,,Australia Post,Q1142936
533050_PO,australia_post_au,COOBER PEDY LPO,,COOBER PEDY,SA,,AU,+61 8 8672 5062,,,Australia Post,Q1142936
21950142,bottlemart_au,Opal Inn Hotel Motel,,,SA,,AU,+61 8 8672 5054,,,Bottlemart,Q102863175
7818,bp,BP CADNEY ROADHOUSE,,WINTINNA,SA,,AU,+61 8 8670 7994,,24/7,BP,Q152057
9078,bp,BP CADNEY PARK,,CADNEY PARK,SA,,AU,+61 8 8670 7822,,24/7,BP,Q152057
https://www.bridgestone.com.au/stores/sa/bridgestone-service-centre-coober-pedy,bridgestone_select,Bridgestone Service Centre Coober Pedy,,Coober Pedy,SA,,AU,+61 8 8672 3322,https://www.bridgestone.com.au/stores/sa/bridgestone-service-centre-coober-pedy/,Mo-Fr 08:00-17:00; Sa 08:00-24:00,Bridgestone Select Tyre & Auto,Q122420123
22313,cellarbrations_au,CELLARBRATIONS AT COOBER PEDY,,COOBER PEDY,SA,,AU,+61 8 8672 5876,,Mo-Sa 10:00-19:00; Su 10:00-17:00,Cellarbrations,Q109807592
6100273,exxonmobil,Mobil Diesel Coober Pedy,,Coober Pedy,SA,,AU,,https://www.mobil.com.au/en-au/find-station/mobil-cooberpedy-sa-cooberpedy-6100273,24/7,Mobil,Q109676002
6100241,exxonmobil,Mobil Coober Pedy,,Coober Pedy,SA,,AU,+61 8 8672 5257,https://www.mobil.com.au/en-au/find-station/mobil-cooberpedy-sa-cooberpedy-6100241,Mo-Su 06:30-20:30,Mobil,Q109676002
1047891,national,Coober Pedy Airport,,Coober Pedy,SA,,AU,+61 1300 106 666,,,NATIONAL,Q1424142
10111493,shell,SHELL COOBER PEDY ROADHOUSE,,COOBER PEDY,SA,,AU,+61 8 8672 5350,https://find.shell.com/au/fuel/10111493-shell-coober-pedy-roadhouse,24/7,Shell,Q110716465
,visa,,,COOBER PEDY,SA,,AU,,,,,
,visa,,,COOBER PEDY,SA,,AU,,,,,
,visa,,,COOBER PEDY,SA,,AU,,,,,
,visa,,,SOUTHEAST COOBER PEDY,SA,,AU,,,,,
,visa,,,COOBER PEDY,SA,,AU,,,,,
,visa,,,COOBER PEDY,SA,,AU,,,,,
,visa,,,COOBER PEDY,SA,,AU,,,,,
7d0ad0cbd74ee64c17279574a7d23612,western_union,AUSTRALIA POST,,Coober Pedy,SA,,AU,+61 1800 501 500,https://location.westernunion.com/au/sa/coober-pedy/7d0ad0cbd74ee64c17279574a7d23612,Mo-Fr 09:00-17:00,Western Union,Q861042
