Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
AUSA05062-1,audi,Audi Solitaire Service,"58 Scotland Road, Mile End 5031",Mile End,South Australia,,AU,+61 8 8272 8155,,,Audi,Q23317
515,fantastic_furniture_au,Mile End,"Mile End Home Shopping Centre, 121-150 Railway Terrace, Mile End, South Australia, 5031",Mile End,South Australia,,AU,+61 8 8253 8082,,Mo-We 09:00-17:30; Th 09:00-19:00; Fr 09:00-17:30; Sa 09:00-17:00; Su 10:00-17:00,Fantastic Furniture,Q18164803
51ME,forty_winks_au,Forty Winks Mile End,,Mile End,South Australia,,AU,+61 8 8443 3553,https://www.fortywinks.com.au/store-finder/sa/mile-end,Mo-We 10:00-18:00; Th 10:00-19:30; Fr 10:00-18:00; Sa 09:30-17:30; Su 11:30-17:30,Forty Winks,Q106283438
401,freedom_furniture,Freedom - Mile End,,Mile End,South Australia,,AU,+61 8 8351 8900,https://www.freedom.com.au/store-finder/stores/401,Mo-We 09:00-17:30; Th 09:00-19:00; Fr 09:00-17:30; Sa 09:00-17:00; Su 11:00-17:00,Freedom Furniture,Q5500546
GS0004123,mercedes_benz,B.E.A. Motors Pty. Ltd.,,Mile End,South Australia,,AU,+61 8 8152 5000,http://www.mbadelaide.com.au,Mo-Fr 08:30-17:30; Sa 08:30-17:00,Mercedes-Benz,Q36008
25,national_tiles_au,Mile End,,Mile End,South Australia,,AU,+61 8 8164 2530,https://www.nationaltiles.com.au/locations/mileend,Mo-Sa 09:00-17:00; Su 11:00-16:00,National Tiles,Q117157007
13,otr_au,OTR Mile End Drive Thru,,Mile End ,South Australia,,AU,,https://www.otr.com.au/locations/mile-end--195-south-road/otr-mile-end-drive-thru/,,OTR,Q116394019
2125,ray_white_au_nz,Ray White West Torrens,,Mile End,South Australia,,AU,+61 8 7070 0595,http://www.raywhitewesttorrens.com.au/,,Ray White,Q81077729
GS0004123,smart,B.E.A. Motors Pty. Ltd.,,Mile End,South Australia,,AU,+61 8 8152 5000,http://www.mbadelaide.com.au,,smart,Q156490
643,total_tools_au,Total Tools Thebarton,,Thebarton,South Australia,,AU,+61 8 8152 8100,https://www.totaltools.com.au/storelocator/thebarton,Mo-Fr 07:30-17:30; Sa 08:00-16:00; Su 10:00-15:00,Total Tools,Q116779059
,visa,,,TORRENSVILLE,SOUTH AUSTRALIA,,AU,,,,,
,visa,,,TORRENSVILLE,SOUTH AUSTRALIA,,AU,,,,,
