Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RED0015423,australia_post_au,,,TURNERS BEACH,TAS,,AU,,,,Australia Post,Q1142936
760472_PO,australia_post_au,TURNERS BEACH LPO,,TURNERS BEACH,TAS,,AU,+61 3 6428 2984,,,Australia Post,Q1142936
RED0015427,australia_post_au,,,TURNERS BEACH,TAS,,AU,,,,Australia Post,Q1142936
RED0015425,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015432,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015424,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015422,australia_post_au,,,GAWLER,TAS,,AU,,,,Australia Post,Q1142936
760181_PO,australia_post_au,GAWLER LPO,,GAWLER,TAS,,AU,+61 3 6425 1113,,,Australia Post,Q1142936
RED0015430,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015429,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
738136_PO,australia_post_au,ULVERSTONE POST SHOP,,ULVERSTONE,TAS,,AU,+61 131318,,,Australia Post,Q1142936
RED0015431,australia_post_au,,,ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
738160_PO,australia_post_au,ULVERSTONE WEST LPO,,WEST ULVERSTONE,TAS,,AU,+61 3 6425 6666,,,Australia Post,Q1142936
RED0015428,australia_post_au,,,WEST ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015433,australia_post_au,,,WEST ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
RED0015426,australia_post_au,,,WEST ULVERSTONE,TAS,,AU,,,,Australia Post,Q1142936
0614,bp,BP ULVERSTONE,,ULVERSTONE,TAS,,AU,+61 3 6425 2251,,24/7,BP,Q152057
744,cellarbrations_au,CELLARBRATIONS RIVER ARMS,,ULVERSTONE,TAS,,AU,+61 3 6425 6984,,Mo-We 09:00-20:00; Th 09:00-21:00; Fr-Sa 09:00-22:00; Su 10:00-20:00,Cellarbrations,Q109807592
7606,coles_au,Coles Ulverstone,,Ulverstone,TAS,,AU,+61 3 6425 2700,,,Coles Supermarkets,Q1108172
740602,commonwealth_bank_au,Ulverstone,,Ulverstone,TAS,,AU,,,,Commonwealth Bank,Q285328
740603,commonwealth_bank_au,Ulverstone,,Ulverstone,TAS,,AU,,,,Commonwealth Bank,Q285328
740601,commonwealth_bank_au,Ulverstone,,Ulverstone,TAS,,AU,,,,Commonwealth Bank,Q285328
740604,commonwealth_bank_au,Ulverstone,,Ulverstone,TAS,,AU,,,,Commonwealth Bank,Q285328
9500724,mcdonalds_qstore,ULVERSTONE TAS,,Ulverstone,TAS,,AU,+61 3 6425 6940,,24/7,McDonald's,Q38076
10111679,shell,SHELL TURNERS BEACH,,TURNERS BEACH,TAS,,AU,+61 3 6428 2984,https://find.shell.com/au/fuel/10111679-shell-turners-beach,,Shell,Q110716465
10111532,shell,SHELL FOUR WAYS,,ULVERSTONE,TAS,,AU,+61 3 6425 1824,https://find.shell.com/au/fuel/10111532-shell-four-ways,,Shell,Q110716465
3554,sportspower_au,Ulverstone,,Ulverstone,TAS,,AU,+61 3 6425 2088,https://www.sportspower.com.au/pages/sportspower-ulverstone,Mo-Fr 09:00-17:30; Sa 09:00-13:30,SportsPower,Q117747652
,visa,,,ULVERSTONE,TAS,,AU,,,,,
,visa,,,ULVERSTONE,TAS,,AU,,,,,
a36b43afa8ede145a83fb86b08899ae9,western_union,AUSTRALIA POST,,Ulverstone,TAS,,AU,+61 1800 501 500,https://location.westernunion.com/au/tas/ulverstone/a36b43afa8ede145a83fb86b08899ae9,Mo-Fr 09:00-17:00; Sa 09:00-12:30,Western Union,Q861042
f3b5d9518e461bd27249fd3ff0e7d27d,western_union,AUSTRALIA POST,,West Ulverstone,TAS,,AU,+61 1800 501 500,https://location.westernunion.com/au/tas/west-ulverstone/f3b5d9518e461bd27249fd3ff0e7d27d,Mo-Fr 09:00-18:00; Sa 09:00-12:00,Western Union,Q861042
