Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
RED0008995,australia_post_au,,,ROCKBANK,VIC,,AU,,,,Australia Post,Q1142936
6719,bp,BP ROCKBANK (OUTBOUND),,ROCKBANK,VIC,,AU,+61 3 9747 1544,,24/7,BP,Q152057
7636,bp,BP ROCKBANK (INBOUND),,ROCKBANK,VIC,,AU,+61 3 9747 1140,,24/7,BP,Q152057
2873,coles_au,Woodlea,,Rockbank,VIC,,AU,+61 3 7031 4880,,,Liquorland,Q2283837
7844,coles_au,Coles Woodlea,,Rockbank,VIC,,AU,+61 3 7031 4800,,,Coles Supermarkets,Q1108172
9501569,mcdonalds_qstore,ROCKBANK INBOUND VIC,,Rockbank,VIC,,AU,+61 3 9747 1513,,24/7,McDonald's,Q38076
9501227,mcdonalds_qstore,ROCKBANK OUTBOUND VIC,,Rockbank,VIC,,AU,+61 3 9747 1613,,24/7,McDonald's,Q38076
,visa,,,WENDOUREE,VIC,,AU,,,,,
,visa,,,ROCKBANK,VIC,,AU,,,,,
,visa,,,ROCKBANK,VIC,,AU,,,,,
