Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://store.aldi.com.au/#25406654,aldi_sud_au,ALDI Melton,,,Victoria,,AU,+61 132534,https://store.aldi.com.au/vic/melton/394-406-high-street,Mo-Su 08:30-20:00,ALDI,Q41171672
https://store.aldi.com.au/#25406292,aldi_sud_au,ALDI Melton West,,,Victoria,,AU,+61 132534,https://store.aldi.com.au/vic/melton-west/533-high-street,Mo-Su 08:30-20:00,ALDI,Q41171672
853,angus_and_coote_au,Melton,Shop T40/533-555 High Street Melton VIC 3337,Melton,Victoria,,AU,+61 3 9743 5037,https://www.anguscoote.com.au/stores/melton,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,Angus & Coote,Q18162112
https://www.avis.com/en/locations/au/vi/melton/m9l,avis,Avis Australia Melton,,Melton,Victoria,,AU,+61 3 9746 9954,https://www.avis.com/en/locations/au/vi/melton/m9l,Mo-Fr 08:00-17:00; Sa 08:00-12:00; Su 09:00-12:00,Avis,Q791136
https://www.avis.com/en/locations/au/vi/melton/m6l,avis,Avis Australia Melton,,Melton,Victoria,,AU,+61 3 9746 9954,https://www.avis.com/en/locations/au/vi/melton/m6l,Mo-Fr 08:00-17:00; Sa 08:00-12:00; Su 09:00-12:00,Avis,Q791136
939,carpet_court_au,Melton Carpet Court,,Melton,Victoria,,AU,+61 3 9747 0999,https://www.carpetcourt.com.au/stores/melbourne/melton,Mo-Fr 08:00-17:00; Sa 09:00-13:00,Carpet Court,Q117156437
https://www.dollarcurtainsandblinds.com.au/store/dollar-curtains-blinds-melton/,dollar_curtains_and_blinds_au,dollar curtains + blinds Melton,"342 High Street, Melton, 3337, VIC",Melton,Victoria,,AU,+61 3 9743 1369,https://www.dollarcurtainsandblinds.com.au/store/dollar-curtains-blinds-melton/,Mo-Fr 09:00-17:30; Sa 09:00-13:00,dollar curtains+blinds,Q122430680
61,ferguson_plarres_bakehouse_au,Woodgrove ,"533-555 High Street, Woodgrove Shopping Centre, Melton VIC 3337, Australia",Melton,Victoria,,AU,+61 3 9971 5241,https://www.fergusonplarre.com.au/woodgrove-,Mo-We 08:00-17:00; Th-Fr 08:00-18:00; Sa-Su 08:00-17:00,Ferguson Plarre's Bakehouse,Q5444249
36,hairhouse_au,Hairhouse Melton,,Melton,Victoria,,AU,+61 3 9746 8655,https://www.hairhouse.com.au/stores/melton,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,Hairhouse,Q118383855
95,novo_au,Novo Woodgrove,,Melton,Victoria,,AU,+61 3 8746 5011,,,NOVO,Q120669012
1357,ray_white_au_nz,Ray White Melton,,Melton,Victoria,,AU,+61 3 9732 0000,http://www.raywhitemelton.com.au/,,Ray White,Q81077729
YD-226,retail_apparel_group,yd. Melton,"Shop T131, Woodgrove Shopping Centre, 533-555 High St",Melton,Victoria,,AU,+61 3 9055 8166,https://www.yd.com.au/au/store/melton,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,yd.,Q113469019
RW-210,retail_apparel_group,Rockwear Melton,533-555 High Street,Melton West,Victoria,,AU,+61 3 7007 8090,https://www.rockwear.com.au/store/melton,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,Rockwear,Q113469029
CN-223,retail_apparel_group,Connor Melton,"Shop T41/42 Woodgrove Shopping Centre, 533-555 High Street",Melton,Victoria,,AU,+61 3 9055 8157,https://www.connor.com.au/au/store/melton,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; Sa 09:00-17:00; Su 08:00-18:00,Connor,Q113468988
610,total_tools_au,Total Tools Melton,,Melton,Victoria,,AU,+61 3 9971 8888,https://www.totaltools.com.au/storelocator/melton,Mo-Fr 07:00-17:30; Sa 08:00-16:00; Su 10:00-15:00,Total Tools,Q116779059
,visa,,,MELTON WEST,VICTORIA,,AU,,,,,
,visa,,,MELTON,VICTORIA,,AU,,,,,
