Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
974,country_fire_authority_au,Culla,,Culla,,,AU,,,,,
984,country_fire_authority_au,Gringe,,Gringegalgona,,,AU,,,,,
985,country_fire_authority_au,Gritjurk,,Gritjurk,,,AU,,,,,
989,country_fire_authority_au,Hilgay Settlers,,Coleraine,,,AU,,,,,
993,country_fire_authority_au,Konongwootong,,Konongwootong,,,AU,,,,,
997,country_fire_authority_au,Melville Forest,,Melville Forest,,,AU,,,,,
1002,country_fire_authority_au,Muntham,,Clover Flat,,,AU,,,,,
1007,country_fire_authority_au,Paschendale,,Paschendale,,,AU,,,,,
1014,country_fire_authority_au,Tahara Satellite,,Tahara Bridge,,,AU,,,,,
1015,country_fire_authority_au,Tarrayoukyan,,Tarrayoukyan,,,AU,,,,,
1016,country_fire_authority_au,Tarrenlea,,Coleraine,,,AU,,,,,
1023,country_fire_authority_au,Wootong Vale,,Wootong Vale,,,AU,,,,,
3629,country_fire_authority_au,Nareen,,Nareen,,,AU,,,,,
3904,country_fire_authority_au,Coleraine,,Coleraine,,,AU,,,,,
3905,country_fire_authority_au,Wando Heights,,Nareen,,,AU,,,,,
