Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
55186485,deichmann,DEICHMANN filijalu Sarajevo Vojvode R.Putnika Bb,,Sarajevo,,,BA,+387 57 318-102,https://stores.deichmann.com/ba-hr/ba/federacija-bosne-i-hercegovine/sarajevo/vojvode-rputnika-bb,Mo-Sa 09:00-21:00; Su 09:00-13:00,Deichmann,Q664543
X710,jysk,"Istočno Sarajevo, Sarajevo",,Istočno Sarajevo,,,BA,+387 33 546-963,https://jysk.ba/stores-locator?storeId=X710,Mo-Sa 10:00-20:00; Su 10:00-14:00,JYSK,Q138913
73453066,moneygram,YUTRANSFER D.O.O. - RAIFFEISEN BANK DD B,,ISTONO NOVO SARAJEVO,,,BA,+387 33 755-025,,Mo-Fr 08:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70822852,moneygram,JP BH POSTA D.O.O. SARAJEVO - #71123 - S,,SARAJEVO,,,BA,+387 33 554-960,,Mo-Fr 09:00-16:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
71629423,moneygram,YUTRANSFER - POSTE SRPSKE - #71123 - I.S,,I.SARAJEVO,,,BA,+387 57 344-675,,Mo-Fr 07:00-20:00; Sa 07:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
,visa,,,ISTOCNO SARAJEVO,,,BA,,,,,
,visa,,,ISTOCNO SARAJEVO,,,BA,,,,,
,visa,,,ISTOCNO SARAJEVO,,,BA,,,,,
,visa,,,ISTOCNO SARAJEVO,,,BA,,,,,
,visa,,,I. SARAJEVO,,,BA,,,,,
,visa,,,I. SARAJEVO,,,BA,,,,,
762bb313461d07c0a57b2b5f4b1a8406,western_union,JP BH POSTA 71123 SARAJEVO,,Sarajevo,,,BA,+387 33 554-960,https://location.westernunion.com/ba/state/sarajevo/762bb313461d07c0a57b2b5f4b1a8406,Mo-Fr 09:00-16:00; Sa 09:00-13:00,Western Union,Q861042
69640aa941997d29f8bfc18a6d30419c,western_union,NOVA BANKA ISTOCNO SARAJEVO,,Sarajevo Lukavica,,,BA,+387 58 210-340,https://location.westernunion.com/ba/state/sarajevo-lukavica/69640aa941997d29f8bfc18a6d30419c,Mo-Fr 08:00-19:00; Sa 08:00-13:00,Western Union,Q861042
b1577a1ff61780da7452832c70817243,western_union,POSTE SRPSKE 71123 I  SARAJEVO,,Istocno Sarajevo,,,BA,+387 57 672-140,https://location.westernunion.com/ba/state/istocno-sarajevo/b1577a1ff61780da7452832c70817243,Mo-Fr 07:00-20:00; Sa 07:00-18:00,Western Union,Q861042
572d045d1f6cdb9d874a36c71c925ffd,western_union,MF BANKA AD BANJA LUKA,,Istocno Sarajevo,,,BA,+387 51 220-800,https://location.westernunion.com/ba/state/istocno-sarajevo/572d045d1f6cdb9d874a36c71c925ffd,Mo-Fr 08:00-16:00; Sa 08:00-13:00,Western Union,Q861042
5f1e69d7022880c8b2fbb37c9d1b652c,western_union,ADDIKO BANK AD BANJA LUKA,,Istocno Sarajevo,,,BA,+387 51 220-800,https://location.westernunion.com/ba/state/istocno-sarajevo/5f1e69d7022880c8b2fbb37c9d1b652c,Mo-Fr 08:00-18:00,Western Union,Q861042
20851e825048bd6bc2732f1e2cb86490,western_union,RBBH 000275 SA ISTOCNO SARAJEV,,Istocno Sarajevo- Lukavica,,,BA,+387 57 343-350,https://location.westernunion.com/ba/state/istocno-sarajevo--lukavica/20851e825048bd6bc2732f1e2cb86490,Mo-Fr 08:00-16:30,Western Union,Q861042
111ab74618fd7916a6eb083de8f40b0e,western_union,NASA BANKA AD BANJA LUKA,,Istocno Sarajevo,,,BA,+387 51 220-800,https://location.westernunion.com/ba/state/istocno-sarajevo/111ab74618fd7916a6eb083de8f40b0e,Mo-Fr 08:00-16:00; Sa 08:00-12:00,Western Union,Q861042
