Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
8d7ba38f01f8122ae010fd6f2157e053,western_union,SONALI BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1716-960882,https://location.westernunion.com/bd/rajshahi/rajshahi/8d7ba38f01f8122ae010fd6f2157e053,Mo-Th 10:00-16:00; Fr-Sa 09:00-16:00; Su 10:00-16:00,Western Union,Q861042
b6f0f65abcc837910b43f46719215a4c,western_union,AGRANI BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1191-146767,https://location.westernunion.com/bd/rajshahi/rajshahi/b6f0f65abcc837910b43f46719215a4c,Mo-Th 09:00-17:00; Fr 09:30-15:00; Sa 09:30-17:00; Su 09:00-17:00,Western Union,Q861042
583c5ca53c1166384c6507467641924f,western_union,JANATA BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1723-006370,https://location.westernunion.com/bd/rajshahi/rajshahi/583c5ca53c1166384c6507467641924f,Mo-Th 09:30-17:00; Fr 09:30-15:00; Sa-Su 09:30-17:00,Western Union,Q861042
237b79b52904c6c973fe250a90c19fde,western_union,JANATA BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1717-034362,https://location.westernunion.com/bd/rajshahi/rajshahi/237b79b52904c6c973fe250a90c19fde,Mo-Th 09:00-17:00; Fr 09:30-15:00; Sa 09:30-17:00; Su 09:00-17:00,Western Union,Q861042
c52230159d2b015d7d2dc77eb0d0d49f,western_union,UNITED COMMERCIAL BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1915-479097,https://location.westernunion.com/bd/rajshahi/rajshahi/c52230159d2b015d7d2dc77eb0d0d49f,Mo-Th 09:30-17:00; Fr 09:30-15:00; Sa-Su 09:30-17:00,Western Union,Q861042
e5f5f44e3ee5a809dda248ea9fabdaa5,western_union,ASA,,Rajshahi,RAJSHAHI,,BD,(+880) 02-29557045,https://location.westernunion.com/bd/rajshahi/rajshahi/e5f5f44e3ee5a809dda248ea9fabdaa5,Mo-Th 08:00-19:00; Sa-Su 08:00-19:00,Western Union,Q861042
3408e5fe89fffacf66d7cb36b21356be,western_union,UTTARA BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,(+880) 07228-1991144345,https://location.westernunion.com/bd/rajshahi/rajshahi/3408e5fe89fffacf66d7cb36b21356be,Mo-Th 09:00-17:00; Fr 09:30-15:00; Sa 09:30-17:00; Su 09:00-17:00,Western Union,Q861042
2f9b5d04f60cd4d3a5ea99dd76244235,western_union,AGRANI BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1824-151777,https://location.westernunion.com/bd/rajshahi/rajshahi/2f9b5d04f60cd4d3a5ea99dd76244235,Mo-Th 09:00-17:00; Fr 09:30-15:00; Sa 09:30-17:00; Su 09:00-17:00,Western Union,Q861042
c441f7ce61d110fda29a44060b1314bb,western_union,STANDARD BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1711-188130,https://location.westernunion.com/bd/rajshahi/rajshahi/c441f7ce61d110fda29a44060b1314bb,Mo-Th 10:00-16:00; Fr 09:30-15:00; Sa 09:30-17:00; Su 10:00-16:00,Western Union,Q861042
7bb77d93b5be21f4540fdd071c592312,western_union,ASA,,Rajshahi,RAJSHAHI,,BD,+880 1730-099181,https://location.westernunion.com/bd/rajshahi/rajshahi/7bb77d93b5be21f4540fdd071c592312,Mo-Th 08:00-19:00; Sa-Su 08:00-19:00,Western Union,Q861042
1d4db9a03df58b9281ca78c0c4810295,western_union,ASA,,Rajshahi,RAJSHAHI,,BD,+880 1730-099194,https://location.westernunion.com/bd/rajshahi/rajshahi/1d4db9a03df58b9281ca78c0c4810295,Mo-Th 08:00-19:00; Sa-Su 08:00-19:00,Western Union,Q861042
4cee617850d8e7feffb4bc66231577e2,western_union,SONALI BANK LIMITED,,Rajshahi,RAJSHAHI,,BD,+880 1712-990757,https://location.westernunion.com/bd/rajshahi/rajshahi/4cee617850d8e7feffb4bc66231577e2,Mo-Th 10:00-16:00; Fr-Sa 09:00-16:00; Su 10:00-16:00,Western Union,Q861042
