Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
67109782,moneygram,BCBL - NAOGAON,,NAOGAON,,,BD,+880 741-63222,,24/7,MoneyGram,Q1944412
68165835,moneygram,JBL - KAZIR MORH-0517,,NAOGAON SADAR,,,BD,+880 741-62475,,24/7,MoneyGram,Q1944412
68165851,moneygram,JBL - NAOGAON CORP.-0153,,NAOGAON SADAR,,,BD,+880 741-62371,,24/7,MoneyGram,Q1944412
68165848,moneygram,JBL - HAPANIA-0591,,NAOGAON SADAR,,,BD,+880 741-61845,,24/7,MoneyGram,Q1944412
72813432,moneygram,BRAC BANK LTD - #947817 - NAOGAON - ATRA,,NAOGAON,,,BD,+880 1716-100159,,Mo-Th 10:00-18:00; Fr 00:00-24:00; Sa-Su 10:00-18:00,MoneyGram,Q1944412
72881561,moneygram,BANK ASIA LIMITED - #68 - MOHADEVPUR BR.,,NAOGAON,,,BD,+880 1730-031400,,Mo-Th 09:30-17:00; Fr-Sa 00:00-24:00; Su 09:30-17:00,MoneyGram,Q1944412
73635046,moneygram,MODHUMOTI BANK LIMITED - #851128 - NAOGA,,NAOGAON,,,BD,+880 1717-718797,,Mo-Th 10:00-16:00; Fr-Sa 00:00-24:00; Su 10:00-16:00,MoneyGram,Q1944412
73695044,moneygram,MUTUAL TRUST BANK LTD - MTB-NAOGAON BRAN,,NAOGAON,,,BD,+880 741-81251,,Mo-Th 10:00-16:00; Fr-Sa 00:00-24:00; Su 10:00-16:00,MoneyGram,Q1944412
68842718,moneygram,PBL - DELUABARI BRANCH,,NAOGAON,,,BD,+880 1917-704866,,Mo-Th 09:00-18:00; Fr 00:00-24:00; Sa-Su 09:00-18:00,MoneyGram,Q1944412
73781987,moneygram,AB BANK LIMITED - MYMENSINGH BRANCH-ABBL,,NAOGAON,,,BD,+880 91-66825,,Mo-Th 10:00-16:00; Fr-Sa 00:00-24:00; Su 10:00-16:00,MoneyGram,Q1944412
68843089,moneygram,PBL - NAOGAON  BRANCH,,NAOGAON,,,BD,+880 1711-404377,,Mo-Th 09:00-18:00; Fr 00:00-24:00; Sa-Su 09:00-18:00,MoneyGram,Q1944412
