Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2084,action,Diest,,Diest,,,BE,,https://www.action.com/nl-be/winkels/diest-leuvensesteenweg/,,Action,Q2634111
WOLO000295,audi_be,A&M Schaffen,,Diest - Schaffen,,,BE,+32 13 31 12 60,,,Audi,Q23317
WOLO000287,audi_be,A&M Diest,,DIEST,,,BE,+32 13 33 63 75,https://www.groepdelorge.be,,Audi,Q23317
http://stores.burgerking.be/nl/burger-king-diest,burger_king_be_lu,Burger King Diest,,Diest,,,BE,,http://stores.burgerking.be/nl/burger-king-diest,Mo-Th 10:30-22:00; Fr-Sa 10:30-23:00; Su 10:30-22:00,Burger King,Q177054
634,carrefour_be,Hypermarkt Carrefour DIEST,,Diest,,,BE,,https://winkels.carrefour.be/nl/s/carrefour/hypermarkt-carrefour-diest/634,Mo-We 08:30-20:00; Th 08:30-21:00; Fr 08:30-20:00; Su 08:30-20:00,Carrefour,Q217599
1290,carrefour_be,Carrefour express Scherpenheuvel,,Scherpenheuvel,,,BE,,https://winkels.carrefour.be/nl/s/carrefour/carrefour-express-scherpenheuvel/1290,Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 07:00-20:00,Carrefour Express,Q2940190
001111F01X,citroen,VAN MOSSEL VAN KELST DIEST,,DIEST,,,BE,+32 13 46 01 50,https://dealer.citroen.be/nl/govaerts-diest/,Mo-Fr 08:00-18:00; Sa 09:00-17:00,Citroen,Q6746
841,colruyt,Colruyt,,DIEST,,,BE,,https://www.colruyt.be/nl/colruyt-openingsuren/4063,,Colruyt,Q2363991
BE0038,c_and_a,Diest,"Botermarkt 10/14, 3290 Diest",Diest,,,BE,,https://www.c-and-a.com/stores/be-nl/vlaams-brabant/diest/botermarkt-10-14.html,Mo 09:30-18:00; Tu 09:30-18:00; We 09:30-18:00; Th 09:30-18:00; Fr 09:30-18:00; Sa 09:30-18:00,C&A,Q701338
2036,dats24_be,DATS 24 DIEST,72 LEUVENSESTEENWEG DIEST 3290,DIEST,,,BE,,,,DATS 24,Q15725576
http://stores.delhaize.be/fr/proxy-delhaize-schaffen,delhaize_be,Proxy Delhaize Schaffen,,Schaffen,,,BE,,http://stores.delhaize.be/fr/proxy-delhaize-schaffen,Mo 08:00-19:00; We-Fr 08:00-19:00; Sa 08:00-18:00; Su 08:00-17:00,Delhaize,Q1184173
http://stores.delhaize.be/fr/delhaize-diest,delhaize_be,Delhaize Diest,,Diest,,,BE,+32 13 31 33 84,http://stores.delhaize.be/fr/delhaize-diest,Mo-Th 08:00-20:00; Fr 08:00-21:00; Sa 08:00-20:00,Delhaize,Q1184173
31230,dominos_pizza_be,Domino's Pizza Diest,,Diest,,,BE,,https://www.dominos.be/nl/winkel/be-diest-31230,,Domino's,Q839466
70,eldi_be,Eldi Diest,,,,,BE,,https://www.eldi.be/nl/winkels/eldi-diest/,,Eldi,Q3050500
FordBD42000  BEL,ford,Morren Motor Diest NV,,DIEST,,,BE,+32 13 33 33 86,https://www.morrenmotor.be/,,Ford,Q44294
211,gamma,GAMMA Diest,"180 Leuvensesteenweg, DIEST, 3290",DIEST,,,BE,+32 13 31 37 93,https://www.gamma.be/fr/magasins-et-heures-ouverture/diest,Mo-Fr 09:00-19:00; Sa 09:00-18:00; Su 09:00-13:00,Gamma,Q2294120
165,lidl_be,Diest,,Diest,,,BE,,,,Lidl,Q151954
webbekom,lunch_garden_be,Webbekom,3290 Webbekom Leuvensesteenweg 110,Webbekom,,,BE,+32 13 31 57 39,https://www.lunchgarden.be/fr/nos-restaurants/webbekom,Mo-Su 08:30-21:30,Lunch Garden,Q2491217
05600736_001-renault,renault,GROUP PASHUYSEN DIEST,,DIEST,,,BE,+32 13 33 50 06,,,Renault,Q6686
05600736_001-dacia,renault,GROUP PASHUYSEN DIEST,,DIEST,,,BE,+32 13 33 50 06,,,Dacia,Q27460
SQLS249,speed_queen,Lavoir Speed Queen,,Diest,,,BE,,,Mo-Su 06:00-22:00,Speed Queen,Q7575499
NB011257,totalenergies,SHELL SCHAFFEN,,DIEST,,,BE,,https://store.totalenergies.fr/en_EN/NB011257,,Shell,Q110716465
210,veritas_be,VERITAS - DIEST,"Sint Jan Berchmansstraat 16, Diest,  3290, Belgique",Diest,,,BE,+32 13 44 15 56,https://www.veritas.be/fr_be/stores/veritas-diest,Tu-Su 09:30-18:00,Veritas,Q56239194
,visa,,,DIEST,,,BE,,,,,
6BE35,volvo,Rutten Diest,,Diest,,,BE,+32 13 31 15 54,http://partner.volvocars.be/rutten-diest,"Mo-Fr 09:00-12:00,13:00-18:00; Sa 10:00-17:00",Volvo,Q215293
