Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72260962,moneygram,RESIDENCE HOTELIERE LA CONCORDE - OUAGAD,,OUAGADOUGOU,,,BF,+226 76 67 65 46,,Mo-Su 07:00-19:00,MoneyGram,Q1944412
68923129,moneygram,CORIS BANK INTERNATIONAL - KONGOUSSI,,KONGOUSSI,,,BF,+226 78 27 05 41,,Mo-Fr 07:30-17:30; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
73839570,moneygram,AKD COMMERCIAL CENTER,,OUAGADOUGOU,,,BF,+226 78 84 70 34,,Mo-Su 07:00-18:00,MoneyGram,Q1944412
73942247,moneygram,"""ETABLISSEMENT PAG SALIFOU & FRERES """"E.PS""",,HOUNDE,,,BF,+226 72 45 32 94,,Mo-Su 06:30-18:00,MoneyGram,Q1944412
73972916,moneygram,ORABANK,,OUAGADOUGOU,,,BF,+226 25 49 60 00,,Mo-Fr 07:45-18:00; Sa 08:00-15:00; Su 00:00-24:00,MoneyGram,Q1944412
74015940,moneygram,BCB PO - #7001 - PO - AGENCE BCB PO,,PO,,,BF,+226 25 32 59 82,,Mo-Fr 07:30-16:30; Sa 07:30-11:30; Su 00:00-24:00,MoneyGram,Q1944412
74166925,moneygram,FORTUNA GROUP SA - OUAGADOUGOU,,OUAGADOUGOU,,,BF,+226 64 41 33 33,,Mo-Su 07:00-18:00,MoneyGram,Q1944412
68390464,moneygram,CORIS BANK INTERNATIONAL - OUAGADOUGOU,,OUAGADOUGOU,,,BF,+226 50 31 23 23,,Mo-Su 07:00-20:00,MoneyGram,Q1944412
74679865,moneygram,BANQUE COMMERCIALE DU BURKINA - #AGENCE,,BOROMO,,,BF,+226 25 32 59 92,,Mo-Fr 07:30-16:30; Sa 07:30-11:30; Su 00:00-24:00,MoneyGram,Q1944412
74733808,moneygram,AGENCE BCB ZINIARE 08001 - ZINIARE - SEC,,ZINIARE,,,BF,625325993,,Mo-Th 07:30-16:30; Fr 07:30-17:00; Sa 07:30-11:30; Su 00:00-24:00,MoneyGram,Q1944412
74905911,moneygram,VISTA BANK BURKINA - OUAGADOUGOU - OUAGA,,OUAGADOUGOU,,,BF,+226 25 32 57 14,,Mo-Fr 07:45-16:00; Sa 08:15-12:30; Su 00:00-24:00,MoneyGram,Q1944412
44222831,moneygram,BCB,,OUAGADOUGOU,,,BF,+226 50 38 77 60,,Mo 07:30-18:00; Tu-Fr 07:30-17:00; Sa 08:00-11:00; Su 00:00-24:00,MoneyGram,Q1944412
44749990,moneygram,BCB,,BOBO-DIOULASSO,,,BF,+226 20 97 20 20,,Mo-Sa 07:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
