Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
47475,easypay,EasyPay,RAZLOG  ul. Pop Bogomil 17,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
51103,easypay,EasyPay,"RAZLOG  ul.Gotse Delchev, do avtogara Razlog",Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
53686,easypay,EasyPay,RAZLOG  ul. Izvorite №118,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
51379,easypay,EasyPay,RAZLOG  ul. Yane Sandanski №1,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
17822,easypay,EasyPay,"RAZLOG  ul. ""Stefan Stambolov"" 2",Obshtina Bansko,Blagoevgrad,,BG,,,,EasyPay,Q110583289
49847,easypay,EasyPay,RAZLOG  ul.CHerna reka 25,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
42076,easypay,EasyPay,RAZLOG  ul. Sheynovo №16,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
52690,easypay,EasyPay,RAZLOG  ul. Sheynovo 5,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
55162,easypay,EasyPay,RAZLOG kv. Aleksandar Stamboliyski ul. Aleksandar Stamboliyski 50,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
56540,easypay,EasyPay,RAZLOG kv. Retail Park Razlog ul. Gotse Delchev №51A,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
46890,easypay,EasyPay,RAZLOG kv. Tsentara ul. Hristo Botev 1,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
56418,easypay,EasyPay,RAZLOG kv. Tsentralna chast ul. Podpolkovnik Spiridonov 5,Obshtina Razlog,Blagoevgrad,,BG,,,,EasyPay,Q110583289
10058096,shell,1032 RAZLOG,,RAZLOG,Blagoevgrad,,BG,+359 89 221 8346,https://find.shell.com/bg/fuel/10058096-1032-razlog,24/7,Shell,Q110716465
,visa,,,RAZLOG,BLAGOEVGRAD,,BG,,,,,
,visa,,,RAZLOG,BLAGOEVGRAD,,BG,,,,,
,visa,,,RAZLOG,BLAGOEVGRAD,,BG,,,,,
e4403ec7d83747c39d8f7b7f3a15f620,western_union,EUROBANK EFG,,Razlog,BLAGOEVGRAD,,BG,(+359) 747-89080-340,https://location.westernunion.com/bg/blagoevgrad/razlog/e4403ec7d83747c39d8f7b7f3a15f620,Mo-Sa 08:30-17:00,Western Union,Q861042
41d9de9dc194323c705e5dda2848ef68,western_union,CENTRAL COOPERATIVE BANK PLC,,Razlog,BLAGOEVGRAD,,BG,+359 74 798 704,https://location.westernunion.com/bg/blagoevgrad/razlog/41d9de9dc194323c705e5dda2848ef68,Mo-Sa 08:30-17:00,Western Union,Q861042
82b73e750f65300c19482452dcba199f,western_union,FIBANK OFFICE FC RAZLOG,,Razlog,BLAGOEVGRAD,,BG,+359 74 780 177,https://location.westernunion.com/bg/blagoevgrad/razlog/82b73e750f65300c19482452dcba199f,Mo-Fr 09:00-17:30,Western Union,Q861042
