Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
42869,easypay,EasyPay,SHUMEN  ul.Universitetska №26,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
39619,easypay,EasyPay,SHUMEN  ul. Knyaz Boris I 4,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
55531,easypay,EasyPay,SHUMEN  bul. Simeon Veliki 41,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
36933,easypay,EasyPay,"SHUMEN  Avtomagistrala Hemus, **mRL**m**mNL**m356+745, vdyasno mezhdu gr. Shumen i gr. Kaspichan",Obshtina Kaspichan,Shumen,,BG,,,,EasyPay,Q110583289
37752,easypay,EasyPay,SHUMEN  ul. Vasil Drumev № 17 B,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
42104,easypay,EasyPay,SHUMEN  bul. Aleko Konstantinov №4,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
3467,easypay,EasyPay,SHUMEN  bul. Slavyanski 62,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
29989,easypay,EasyPay,SHUMEN  bul.Simeon Veliki 34,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
29313,easypay,EasyPay,SHUMEN  ul. Patleyna 10,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
49797,easypay,EasyPay,SHUMEN  Tsar Osvoboditel 83,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
41330,easypay,EasyPay,SHUMEN  ul. „Patleyna“ № 10,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
44035,easypay,EasyPay,SHUMEN  ul. Bacho Kiro № 7,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
56156,easypay,EasyPay,SHUMEN  ul.TSar Osvoboditel 131,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
40319,easypay,EasyPay,"SHUMEN  bul. Simeon Veliki 67, ofis 4",Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
55555,easypay,EasyPay,SHUMEN  ul. Panayot Volov 7,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
37818,easypay,EasyPay,SHUMEN  ul.Lozengrad 1,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
37199,easypay,EasyPay,SHUMEN  ul. Avgust Popov 12 A,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
38479,easypay,EasyPay,"SHUMEN  bul. Madara 30, m-n TSBA",Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
38727,easypay,EasyPay,SHUMEN  bul. Rishki prohod 25(sreshtu Mitnitsata),Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
44569,easypay,EasyPay,"SHUMEN  bul. Simeon Veliki 28, m-n Kaufland",Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
2025,easypay,EasyPay,SHUMEN  bul. Slavyanski 13A,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
36934,easypay,EasyPay,SHUMEN  Avtomagistrala Shumen 356+745,Obshtina Kaspichan,Shumen,,BG,,,,EasyPay,Q110583289
39535,easypay,EasyPay,SHUMEN  ul. Layosh Koshut 1,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
45741,easypay,EasyPay,SHUMEN  bul. Veliki Preslav №7,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
46877,easypay,EasyPay,SHUMEN  ul. Panayot Hitov 2,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
34630,easypay,EasyPay,SHUMEN  bul. Veliki Preslav 121,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
39211,easypay,EasyPay,"SHUMEN  ul. Beli lom, №1, m-n Kaufland",Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
50021,easypay,EasyPay,"SHUMEN  pl. Balgaria, №1",Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
55956,easypay,EasyPay,SHUMEN  ul. Makedonia 17,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
55923,easypay,EasyPay,SHUMEN kv. GRIVITSA ul. General Dragomirov 5A,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
56752,easypay,EasyPay,SHUMEN kv. Kurshun Cheshma ul. Saedinenie 116,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
54814,easypay,EasyPay,SHUMEN kv. Kv. Boyan Balgaranov ul. Iskar 7 (Magazin BULMAG),Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
56614,easypay,EasyPay,SHUMEN kv. Peti Polk ul. Kraleviche 1,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
45012,easypay,EasyPay,SHUMEN kv. Peti polk Sofiysko shose 19,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
42769,easypay,EasyPay,SHUMEN kv. Trakia ul.Strandzha №12,Obshtina Shumen,Shumen,,BG,,,,EasyPay,Q110583289
