Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
53625,easypay,EasyPay,"GORNA ORYAHOVITSA  ul. Sv. Knyaz Boris 1, 58 A",Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
55057,easypay,EasyPay,"GORNA ORYAHOVITSA  gr. Gorna Oryahovitsa, ul. Otets Paisiy, № 8",Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
3463,easypay,EasyPay,GORNA ORYAHOVITSA  ul. Sv. Knyaz Boris I 1,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
42593,easypay,EasyPay,"GORNA ORYAHOVITSA  ul. Mano Todorov 7A, m-n Kaufland",Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
29337,easypay,EasyPay,"GORNA ORYAHOVITSA  pl. Georgi Izmirliev 1, targovski tsentar Kinoto",Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
53107,easypay,EasyPay,GORNA ORYAHOVITSA  ul. Yanko Boyanov 7B,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
37868,easypay,EasyPay,GORNA ORYAHOVITSA  ul. Vicho Grancharov 10,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
49347,easypay,EasyPay,GORNA ORYAHOVITSA  ul. Panayot Tsvikev 80,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
42343,easypay,EasyPay,GORNA ORYAHOVITSA  ul. Angel  Kanchev 82 B,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
52486,easypay,EasyPay,GORNA ORYAHOVITSA kv. KV.GARATA ul. Tsar Osvoboditel 109,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
54022,easypay,EasyPay,GORNA ORYAHOVITSA kv. Prolet ul. Petar Bochev 1,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
54102,easypay,EasyPay,GORNA ORYAHOVITSA kv. industrialna zona ul. Ivan Momchilov 1,Obshtina Gorna Oryakhovitsa,Veliko Turnovo,,BG,,,,EasyPay,Q110583289
,visa,,,GORNA ORYAKHOVITSA,VELIKO TURNOVO,,BG,,,,,
