City,Place Name,Zipcode,Name
Cabedelo,bmw_group,,unknown,PG Prime
"João Pessoa, Manaíra",hugo_boss,,unknown,Boss Store
João Pessoa,pague_menos_br,,unknown,Pague Menos
Mamanguape,pague_menos_br,,unknown,Pague Menos
Bayeux,pague_menos_br,,unknown,Pague Menos
Campina Grande,pague_menos_br,,unknown,Pague Menos
Patos,pague_menos_br,,unknown,Pague Menos
Solânea,pague_menos_br,,unknown,Pague Menos
Cajazeiras,pague_menos_br,,unknown,Pague Menos
Pedras de Fogo,pague_menos_br,,unknown,Pague Menos
Sapé,pague_menos_br,,unknown,Pague Menos
Sousa,pague_menos_br,,unknown,Pague Menos
Santa Rita,pague_menos_br,,unknown,Pague Menos
Cabedelo,pague_menos_br,,unknown,Pague Menos
Guarabira,pague_menos_br,,unknown,Pague Menos
 Patos ,pague_menos_br,,unknown,Pague Menos
CABEDELO,visa,,unknown,unknown
JOAO PESSOA,visa,,unknown,unknown
CONDE,visa,,unknown,unknown
PITIMBU,visa,,unknown,unknown
BAYEUX,visa,,unknown,unknown
SANTA RITA,visa,,unknown,unknown
ALHANDRA,visa,,unknown,unknown
CAAPORA,visa,,unknown,unknown
SAPE,visa,,unknown,unknown
LAGOA DE DENTRO,visa,,unknown,unknown
ARACAGI,visa,,unknown,unknown
ITABAIANA,visa,,unknown,unknown
CAICARA,visa,,unknown,unknown
MAMANGUAPE,visa,,unknown,unknown
GUARABIRA,visa,,unknown,unknown
BANANEIRAS,visa,,unknown,unknown
SOLANEA,visa,,unknown,unknown
ALAGOA GRANDE,visa,,unknown,unknown
INGA,visa,,unknown,unknown
CACIMBA DE DENTRO,visa,,unknown,unknown
MASSARANDUBA,visa,,unknown,unknown
ALAGOA NOVA,visa,,unknown,unknown
REMIGIO,visa,,unknown,unknown
AROEIRAS,visa,,unknown,unknown
LAGOA SECA,visa,,unknown,unknown
SAO SEBASTIAO DE LAGOA DE ROCA,visa,,unknown,unknown
CAMPINA GRANDE,visa,,unknown,unknown
FAGUNDES,visa,,unknown,unknown
BARRA DE SANTA ROSA,visa,,unknown,unknown
CUITE,visa,,unknown,unknown
POCINHOS,visa,,unknown,unknown
BOQUEIRAO,visa,,unknown,unknown
PICUI,visa,,unknown,unknown
CABACEIRAS,visa,,unknown,unknown
SERRA BRANCA,visa,,unknown,unknown
SANTA LUZIA,visa,,unknown,unknown
SAO MAMEDE,visa,,unknown,unknown
PATOS,visa,,unknown,unknown
TEIXEIRA,visa,,unknown,unknown
CATOLE DO ROCHA,visa,,unknown,unknown
PAULISTA,visa,,unknown,unknown
POMBAL,visa,,unknown,unknown
COREMAS,visa,,unknown,unknown
PIANCO,visa,,unknown,unknown
TAVARES,visa,,unknown,unknown
PRINCESA ISABEL,visa,,unknown,unknown
SOUSA,visa,,unknown,unknown
ITAPORANGA,visa,,unknown,unknown
UIRAUNA,visa,,unknown,unknown
SAO JOAO DO RIO DO PEIXE,visa,,unknown,unknown
CAJAZEIRAS,visa,,unknown,unknown
BONITO DE SANTA FE,visa,,unknown,unknown
CONCEICAO,visa,,unknown,unknown
