Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
200303811,exxonmobil,NORTH TOWN ESSO,,MANNING,AB,,CA,+1 780-836-3183,https://www.esso.ca/en-ca/find-station/esso-manning-ab-esso-200303811,Mo-Sa 00:00-24:00; Su 06:00-00:00,Esso,Q867662
Motorcraft5973CANEnglish,ford,Patricia Ford Sales 1994,,AB,AB,,CA,,,,Ford,Q44294
Motorcraft5974CANFrench,ford,Patricia Ford Sales 1994,,AB,AB,,CA,,,,Ford,Q44294
65177347,moneygram,MANNING PO,,MANNING,AB,,CA,+1 780-836-3121,,Mo-Fr 09:00-17:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
https://restaurants.subway.com/#14921119,subway,Subway,,Manning,AB,,CA,+1 780-836-3311,https://restaurants.subway.com/fr_ca/canada/ab/manning/404-main-street,Mo-Fr 06:00-21:00; Sa-Su 07:00-21:00,Subway,Q244457
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
,visa,,,MANNING,AB,,CA,,,,,
