Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
265,bostonpizza,Albany,,Edmonton,AB,,CA,0017807572747,https://bostonpizza.com/en/locations/albany,,Boston Pizza,Q894578
2911001097,dollarama,Dollarama,,Edmonton,AB,,CA,+1 587-459-0985,,Mo 10:00-18:00; Tu-Su 08:00-21:00,Dollarama,Q3033947
185902,pandaexpress,127th & 167th (Albany Market Square),,Edmonton,AB,,CA,+1 780-457-8056,https://www.pandaexpress.com/locations/ab/edmonton/16704-127th-street-nw,Mo-Th 10:30-21:30; Fr-Sa 10:30-22:00; Su 10:30-21:30,Panda Express,Q1358690
517554,petvalu,Pet Valu,"12756 167 Avenue, Edmonton AB T6V 1J6",Edmonton,AB,,CA,,https://store.petvalu.ca/location/3221/,,Pet Valu,Q58009635
17528,rogers_communications,Albany Market Square,,Edmonton,AB,,CA,+1 780-473-3885,,Mo-Su 10:00-18:00,Rogers Communications,Q165684
6110,specsavers,Albany Market Square,,Edmonton,AB,,CA,+1 587-400-9545,https://www.specsavers.ca/stores/albanymarketsquare,,Specsavers,Q2000610
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
,visa,,,EDMONTON,AB,,CA,,,,,
1122,walmart_ca,EDMONTON NW ALBANY,,Edmonton,AB,,CA,+1 780-457-4366,,Mo-Su 07:00-22:00,Walmart,Q483551
b0335d06cfb1e8347ea3a042c970ba1e,western_union,WAL MART #1122,,Edmonton,AB,,CA,+1 780-457-4366,https://location.westernunion.com/ca/ab/edmonton/b0335d06cfb1e8347ea3a042c970ba1e,Mo-Su 07:00-23:00,Western Union,Q861042
