Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
0508,albert_walter,Chase BC,,Chase,BC,,CA,+1 250-679-8123,https://web.aw.ca/en/locations/0508/chase/chase-bc,Mo-Su 06:00-22:00,A&W,Q2818848
https://www.interiorhealth.ca/locations/chase-mental-health-substance-use,interior_health_ca,Chase Mental Health & Substance Use,,Chase,BC,,CA,+1 250-679-1400,https://www.interiorhealth.ca/locations/chase-mental-health-substance-use,,Interior Health,Q6046681
https://www.interiorhealth.ca/locations/chase-primary-health-care-clinic,interior_health_ca,Chase Primary Health Care Clinic,,Chase,BC,,CA,+1 250-679-1400,https://www.interiorhealth.ca/locations/chase-primary-health-care-clinic,,Interior Health,Q6046681
https://www.interiorhealth.ca/locations/chase-health-centre-laboratory,interior_health_ca,Chase Health Centre Laboratory,,Chase,BC,,CA,+1 250-679-1400,https://www.interiorhealth.ca/locations/chase-health-centre-laboratory,,Interior Health,Q6046681
https://www.interiorhealth.ca/locations/chase-health-centre,interior_health_ca,Chase Health Centre,,Chase,BC,,CA,+1 250-679-3312,https://www.interiorhealth.ca/locations/chase-health-centre,,Interior Health,Q6046681
https://www.interiorhealth.ca/locations/chase-diabetes-clinic,interior_health_ca,Chase Diabetes Clinic,,Chase,BC,,CA,+1 250-679-1400,https://www.interiorhealth.ca/locations/chase-diabetes-clinic,,Interior Health,Q6046681
65171712,moneygram,CHASE PO,,CHASE,BC,,CA,+1 250-679-3112,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
https://restaurants.subway.com/#14919383,subway,Subway,,Chase,BC,,CA,+1 250-679-8888,https://restaurants.subway.com/fr_ca/canada/bc/chase/305-brooke-dr,Mo 07:30-21:00; Tu 08:00-21:00; We-Th 07:30-21:00; Fr 07:30-21:30; Sa-Su 07:30-21:00,Subway,Q244457
023252,uhaul,Bighorn Mini & RV Storage Ltd,343 Shuswap Ave,Chase,BC,,CA,+1 250-679-3014,,Tu-Fr 00:00-16:00; Sa 00:00-15:00,U-Haul,Q7862902
,visa,,,SCOTCH CREEK,BC,,CA,,,,,
,visa,,,SCOTCH CREEK,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHILLIWACK,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,CHASE,BC,,CA,,,,,
,visa,,,KAMLOOPS,BC,,CA,,,,,
