Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
0529,albert_walter,Petro Canada Valemount,,Valemount,BC,,CA,+1 250-566-4151,https://web.aw.ca/en/locations/0529/valemount/petro-canada-valemount,Mo 00:00-23:00; Tu 06:00-23:00; We 06:00-00:00; Th-Su 00:00-00:00,A&W,Q2818848
200320091,exxonmobil,VALEMOUNT ESSO ON THE RUN,,VALEMOUNT,BC,,CA,+1 250-566-4056,https://www.esso.ca/en-ca/find-station/esso-valemount-bc-esso-200320091,24/7,Esso,Q867662
24141,little_free_library,Wendy Cinnamon #24141 Valemount BC,,Valemount,BC,,CA,,,,Little Free Library,Q6650101
65167519,moneygram,VALEMOUNT PO,,VALEMOUNT,BC,,CA,+1 250-566-4545,,Mo-Fr 08:00-17:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
10052605,shell,HWY 5 - PINE RD.,,VALEMOUNT,BC,,CA,+1 250-566-9837,https://find.shell.com/ca/fuel/10052605-hwy-5-pine-rd,,Shell,Q110716465
https://restaurants.subway.com/#14921266,subway,Subway Shell Gas/C-Store,,Valemount,BC,,CA,+1 250-566-4050,https://restaurants.subway.com/fr_ca/canada/bc/valemount/805-cranberry-lake-rd,Mo-Su 05:30-22:00,Subway,Q244457
106413,tim_hortons,Tim Hortons,,Valemount,BC,,CA,+1 250-566-4116,,Mo-We 05:00-20:30; Fr-Su 05:00-20:30,Tim Hortons,Q175106
035301,uhaul,Valemount Recycling Center and Carwash,993 5th Ave B760,Valemount,BC,,CA,+1 236-408-2009,,We-Sa 00:00-17:00,U-Haul,Q7862902
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
,visa,,,VALEMOUNT,BC,,CA,,,,,
