Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://storelocations.ae.com/#1727630,american_eagle_outfitters,American Eagle Store 2205 4700 Kingsway,,Burnaby,BC,,CA,+1 604-430-0282,https://storelocations.ae.com/fr/ca/bc/burnaby/2205-4700-kingsway.html,Mo-Sa 10:00-21:00; Su 11:00-19:00,American Eagle Store,Q2842931
14160,burgerking,Burger King,,Burnaby,BC,,CA,+1 604-433-5181,https://www.burgerking.ca/store-locator/store/restaurant_8377,Mo-Sa 11:00-21:00; Su 11:00-18:00,Burger King,Q177054
bc_burnaby_4700-kingsway,chipotle, ,,Burnaby,BC,,CA,+1 604-438-4444,https://locations.chipotle.ca/bc/burnaby/4700-kingsway,,Chipotle,Q465751
https://ca.coach.com/stores/#17277366,coach_ca,COACH,,Burnaby,BC,,CA,+1 604-670-7354,https://ca.coach.com/stores/bc/burnaby/4700-kingsway,Mo-Sa 10:00-21:00; Su 11:00-19:00,Coach,Q727697
9925401,hugo_boss,BOSS Temporary Store,,BURNABY,BC,,CA,,https://www.hugoboss.com/us/storedetail?storeid=9925401,Mo-Sa 10:00-21:00; Su 11:00-19:00,Hugo Boss,Q491627
3549,jack_and_jones,Burnaby - Metropolis at Metrotown,,Burnaby,BC,,CA,+1 604-438-8222,,,Jack & Jones,Q6077665
https://locations.michaelkors.com/ca/en/bc/burnaby/4700-kingsway.html,michaelkors,Michael Kors- TEMPORARILY CLOSED UNTIL MARCH 2024 METROPOLIS,,Burnaby,BC,,CA,+1 604-629-2012,https://locations.michaelkors.com/ca/en/bc/burnaby/4700-kingsway.html,Mo-Sa 10:00-21:00; Su 11:00-19:00,Michael Kors,Q19572998
https://locations.michaelkors.com/ca/fr/bc/burnaby/4700-kingsway.html,michaelkors,Michael Kors- TEMPORARILY CLOSED UNTIL MARCH 2024 METROPOLIS,,Burnaby,BC,,CA,+1 604-629-2012,https://locations.michaelkors.com/ca/fr/bc/burnaby/4700-kingsway.html,Mo-Sa 10:00-21:00; Su 11:00-19:00,Michael Kors,Q19572998
04b73b49-ea95-4162-b3e3-bd4c942f2f74,nike,Nike Metrotown,,Burnaby,BC,,CA,+1 604-430-6453,https://www.nike.com/retail/s/nike-metrotown,Mo-Sa 10:00-19:00,Nike,Q483915
ca8885f5ef,pandora,A propos de Boutique Bijoux Pandora Pandora @ Metrotown,,Burnaby,BC,,CA,+1 604-670-4426,https://stores.pandora.net/bc/burnaby/bijoux-pandora-ca8885f5ef.html,Mo-Sa 10:00-21:00; Su 11:00-19:00,Pandora,Q2241604
https://restaurants.subway.com/#14918583,subway,Subway Metropolis At Metrotown,,Burnaby,BC,,CA,+1 604-433-4288,https://restaurants.subway.com/fr_ca/canada/bc/burnaby/4700-kingsway,Mo-Sa 09:00-21:00; Su 10:00-19:00,Subway,Q244457
https://stores.sunglasshut.com/ca/bc/burnaby/1116-4700-kingsway,sunglass_hut_1,Sunglass Hut,,Burnaby,BC,,CA,+1 604-439-9831,https://stores.sunglasshut.com/ca/bc/burnaby/1116-4700-kingsway,Mo-Sa 10:00-21:00; Su 11:00-19:00,Sunglass Hut,Q136311
8796416409623,thebodyshop,Metropolis At Metrotown,,Burnaby,BC,,CA,,https://www.thebodyshop.com/en-ca/store-details/metropolis-at-metrotown/1459,,The Body Shop,Q837851
91372,tjx,Metrotown,E3-4700 Kingsway Street,Burnaby,BC,,CA,+1 604-430-3457,,Mo-Sa 09:00-21:00; Su 10:00-19:00,Winners,Q845257
9049,tjx,Burnaby,E3-4700 Kingsway Street,Burnaby,BC,,CA,+1 604-430-3457,,Mo-Sa 09:00-21:00; Su 10:00-19:00,HomeSense,Q16844433
,visa,,,BURNABY,BC,,CA,,,,,
,visa,,,BURNABY,BC,,CA,,,,,
,visa,,,BURNABY,BC,,CA,,,,,
,visa,,,BURNABY,BC,,CA,,,,,
