State,Place Name,City,Establishments
MB,aaa,Winnipeg,3
MB,aaa,Altona,1
BC,aaa,Nanaimo,1
BC,aaa,Victoria,2
BC,aaa,Richmond,1
BC,aaa,Vancouver,4
BC,aaa,West Vancouver,1
BC,aaa,Delta,1
BC,aaa,Burnaby,2
BC,aaa,North Vancouver,1
BC,aaa,New Westminster,1
BC,aaa,Surrey,2
BC,aaa,Coquitlam,1
BC,aaa,Langley,1
BC,aaa,Maple Ridge,1
BC,aaa,Courtenay,1
BC,aaa,Abbotsford,1
BC,aaa,Chilliwack,1
BC,aaa,Penticton,1
BC,aaa,Westbank,1
BC,aaa,Kelowna,1
BC,aaa,Vernon,1
BC,aaa,Kamloops,1
BC,aaa,Nelson,1
AB,aaa,Calgary,5
AB,aaa,Lethbridge,1
AB,aaa,Medicine Hat,1
SK,aaa,Swift Current,1
SK,aaa,Moose Jaw,1
SK,aaa,Weyburn,1
SK,aaa,Regina,3
SK,aaa,Estevan,1
MB,aaa,Brandon,1
ON,aaa,Thunder Bay,1
ON,aaa,Sault Ste Marie,1
ON,aaa,Windsor,1
ON,aaa,Leamington,1
ON,aaa,Sarnia,1
ON,aaa,Chatham,1
ON,aaa,London,1
ON,aaa,St. Thomas,1
ON,aaa,Owen Sound,1
ON,aaa,Orangeville,1
ON,aaa,Barrie,1
ON,aaa,Brampton,1
ON,aaa,Brantford,1
ON,aaa,Newmarket,1
ON,aaa,Oakville,1
ON,aaa,Mississauga,1
ON,aaa,Toronto,2
ON,aaa,Burlington,1
ON,aaa,Hamilton,2
ON,aaa,Orillia,1
ON,aaa,Markham,1
ON,aaa,Simcoe,1
ON,aaa,Welland,1
ON,aaa,Grimsby,1
ON,aaa,Thorold,1
ON,aaa,St. Catharines,1
ON,aaa,Niagara Falls,1
ON,aaa,Pickering,1
ON,aaa,Oshawa,1
ON,aaa,Cobourg,1
ON,aaa,Peterborough,1
ON,aaa,Belleville,1
ON,aaa,Kingston,1
ON,aaa,Stittsville,1
ON,aaa,Ottawa,2
ON,aaa,Nepean,1
QC,aaa,Gatineau,1
QC,aaa,Pointe-Claire,1
QC,aaa,Boisbriand,1
QC,aaa,Laval,1
QC,aaa,Montreal,1
QC,aaa,St-Leonard,1
QC,aaa,Brossard,1
QC,aaa,Terrebonne,1
QC,aaa,Sherbrooke,1
QC,aaa,Trois-Rivieres,1
QC,aaa,Quebec,2
QC,aaa,Levis,1
QC,aaa,Saguenay,1
NB,aaa,Fredericton,1
NB,aaa,Saint John,1
