Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
3130,albert_walter,Garden City SC,,Winnipeg,MB,,CA,+1 204-338-5021,https://web.aw.ca/en/locations/3130/winnipeg/garden-city-sc,Mo-Fr 08:00-21:00; Sa 08:00-18:00; Su 11:00-18:00,A&W,Q2818848
2911000529,dollarama,Dollarama,,Winnipeg,MB,,CA,+1 204-334-7750,,Mo 10:00-18:00; Tu-Sa 08:00-21:00; Su 08:00-18:00,Dollarama,Q3033947
https://restaurants.fiveguys.ca/#88300488,five_guys_ca,Five Guys Garden City,,Winnipeg,MB,,CA,+1 431-482-2324,https://restaurants.fiveguys.ca/870-leila-ave,"Mo-Th 11:00-21:30,11:00-22:00; Fr-Su 11:00-22:30,11:00-23:00",Five Guys,Q1131810
https://stores.footlocker.ca/en/mb/winnipeg/2305-mcphillips-street-99006.html,footlocker,"Foot Locker in Garden City Shopping Centre: Winnipeg, Manitoba | Approved | Own It",,Winnipeg,MB,,CA,+1 204-339-7758,https://stores.footlocker.ca/en/mb/winnipeg/2305-mcphillips-street-99006.html,Mo-Fr 10:00-21:00; Sa 10:00-18:00; Su 11:00-18:00,Foot Locker,Q63335
869,gamestop_ca,GARDEN CITY SHOPPING CENTRE,,Winnipeg,MB,,CA,+1 204-339-0140,,Mo-Fr 11:00-19:00; Sa 10:00-18:00; Su 23:00-18:00,GameStop,Q202210
https://goodlifefitness.com/clubs/club.239.html,goodlifefitness,Winnipeg Garden City Shopping Centre,,Winnipeg,MB,,CA,,https://goodlifefitness.com/clubs/club.239.html,,GoodLife Fitness,Q3110654
12475,rogers_communications,Garden City Mall,,Winnipeg,MB,,CA,+1 204-339-8895,,Mo-Sa 10:00-18:00; Su 11:00-18:00,Rogers Communications,Q165684
106365,tim_hortons,Tim Hortons,,Winnipeg,MB,,CA,+1 204-338-2234,,Mo-We 08:30-21:00; Fr 08:30-21:00; Sa 09:00-18:00; Su 11:00-18:00,Tim Hortons,Q175106
91294,tjx,Garden City,2305 Mcphillips St,Winnipeg,MB,,CA,+1 204-334-4834,,Mo-Fr 09:00-21:00; Sa 09:00-20:00; Su 10:00-18:00,Winners,Q845257
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
,visa,,,WINNIPEG,MB,,CA,,,,,
3aba6bf758aecb7d740f9e67fc15ba63,western_union,SHEFIELD EXPRESS # 76,,Winnipeg,MB,,CA,+1 204-339-1340,https://location.westernunion.com/ca/mb/winnipeg/3aba6bf758aecb7d740f9e67fc15ba63,Mo-Fr 09:00-21:00; Sa 09:00-18:00; Su 11:00-18:00,Western Union,Q861042
