Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
200302593,exxonmobil,ESSO CIRCLE K,,SHARON,ON,,CA,+1 905-853-8439,https://www.esso.ca/en-ca/find-station/esso-sharon-on-esso-200302593,24/7,Esso,Q867662
5550,mightyflame,2359036 ONTARIO INC,,QUEENSVILLE,ON,,CA,+1 905-478-1919,,,Mighty Flame,
65185423,moneygram,SHARON PO,,SHARON,ON,,CA,+1 905-478-2380,,Mo-Fr 09:00-17:45; Sa 09:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
https://restaurants.subway.com/#14919301,subway,Subway Sharon Plaza,,Sharon,ON,,CA,+1 905-478-7999,https://restaurants.subway.com/fr_ca/canada/on/sharon/19101b-leslie-street,Mo-Th 09:00-22:00; Fr-Sa 08:00-22:00; Su 09:00-21:00,Subway,Q244457
102503,tim_hortons,Tim Hortons,,Sharon,ON,,CA,+1 289-470-0385,,Mo-We 05:00-23:00; Fr-Su 05:00-23:00,Tim Hortons,Q175106
,visa,,,EAST GWILLIAMBURY,ON,,CA,,,,,
,visa,,,SHARON,ON,,CA,,,,,
,visa,,,SHARON,ON,,CA,,,,,
,visa,,,NEWMARKET,ON,,CA,,,,,
,visa,,,SHARON,ON,,CA,,,,,
,visa,,,SHARON,ON,,CA,,,,,
,visa,,,SHARON,ON,,CA,,,,,
