Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
b2330,bmo,ELORA,,ELORA,ON,,CA,+1 519-846-5301,,Mo-Fr 09:30-17:00,BMO,Q4835981
abm2330,bmo,ELORA,,ELORA,ON,,CA,,,,BMO,Q4835981
200304198,exxonmobil,SALEM ESSO,,ELORA,ON,,CA,+1 519-846-8106,https://www.esso.ca/en-ca/find-station/esso-elora-on-esso-200304198,Mo-Fr 06:30-20:00; Sa 08:00-20:00; Su 09:00-18:00,Esso,Q867662
200303712,exxonmobil,C/O ELORA ESSO,,ELORA,ON,,CA,+1 519-846-0094,https://www.esso.ca/en-ca/find-station/esso-elora-on-esso-200303712,Mo-Fr 05:00-21:00; Sa 07:00-20:00; Su 07:00-19:00,Esso,Q867662
5436,mightyflame,ELORA MART,,ELORA,ON,,CA,+1 519-846-2688,,,Mighty Flame,
65193130,moneygram,ELORA RPO,,ELORA,ON,,CA,+1 519-846-5681,,Mo-Fr 08:00-17:00; Sa 09:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
https://restaurants.subway.com/#14919798,subway,Subway,,Elora,ON,,CA,+1 519-846-8118,https://restaurants.subway.com/fr_ca/canada/on/elora/58-wellington-rd-7,Mo 08:00-21:00; Tu-Sa 08:00-22:00; Su 09:00-21:00,Subway,Q244457
101898,tim_hortons,Tim Hortons,,Elora,ON,,CA,+1 519-846-9078,,Mo-We 05:00-23:00; Fr-Su 05:00-23:00,Tim Hortons,Q175106
048727,uhaul,Hilltop Variety,58 Wellington Rd 7 Unit 4,Elora,ON,,CA,+1 519-846-9082,,Mo-Sa 00:00-21:00,U-Haul,Q7862902
,visa,,,BELWOOD,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
,visa,,,ELORA,ON,,CA,,,,,
