Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
200322923,exxonmobil,MAGNETAWAN ESSO,,BRITT,ON,,CA,+1 705-383-1515,https://www.esso.ca/en-ca/find-station/esso-britt-on-esso-200322923,Mo-Su 06:00-23:00,Esso,Q867662
65440090,moneygram,BRITT PO,,BRITT,ON,,CA,+1 705-383-2500,,Mo-Fr 09:00-17:00; Sa 09:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
108337,tim_hortons,Tim Hortons,,Britt,ON,,CA,+1 705-383-1313,,Mo-We 06:00-20:00; Fr-Su 06:00-20:00,Tim Hortons,Q175106
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRILL,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
,visa,,,BRITT,ON,,CA,,,,,
