Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
b2577,bmo,WOODSIDE SQUARE,,AGINCOURT,ON,,CA,+1 416-299-3040,,Mo-We 09:30-17:00; Th-Fr 09:30-19:00; Sa 09:30-16:00,BMO,Q4835981
abm2577,bmo,WOODSIDE SQUARE,,SCARBOROUGH,ON,,CA,,,,BMO,Q4835981
2911000313,dollarama,Dollarama,,Scarborough,ON,,CA,+1 416-297-8138,,Mo 11:00-19:00; Tu-Sa 09:00-21:00; Su 09:00-20:00,Dollarama,Q3033947
https://restaurants.subway.com/#14919026,subway,Subway Woodside Square,,Toronto,ON,,CA,+1 647-346-4845,https://restaurants.subway.com/fr_ca/canada/on/toronto/1571-sandhurst-circle,Mo-Fr 08:30-02:00; Sa-Su 09:00-02:00,Subway,Q244457
https://locations.tacobell.ca/#35976475,taco_bell,Taco Bell,,,ON,,CA,+1 416-297-1952,https://locations.tacobell.ca/en/on/scarborough/1571-sandhurst-circle,Mo-Fr 11:00-21:00; Sa 11:00-20:00; Su 11:00-19:00,Taco Bell,Q752941
103286,tim_hortons,Tim Hortons,,Scarborough,ON,,CA,+1 416-293-0190,,Mo-We 06:00-22:00; Fr-Su 06:00-22:00,Tim Hortons,Q175106
,visa,,,SCARBOROUGH,ON,,CA,,,,,
,visa,,,SCARBOROUGH,ON,,CA,,,,,
,visa,,,SCARBOROUGH,ON,,CA,,,,,
,visa,,,TORONTO,ON,,CA,,,,,
5ad28e21f1473214456b4e71234a5f15,western_union,FOOD BASICS #874,,Scarborough,ON,,CA,+1 416-412-3100,https://location.westernunion.com/ca/on/scarborough/5ad28e21f1473214456b4e71234a5f15,Mo-Su 08:00-22:00,Western Union,Q861042
