Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
200327694,exxonmobil,BRANTFORD HWY ESSO,,CAMBRIDGE,ON,,CA,,https://www.esso.ca/en-ca/find-station/esso-cambridge-on-esso-200327694,24/7,Esso,Q867662
100292,tim_hortons,Tim Hortons,,Cambridge,ON,,CA,+1 519-621-0150,,Mo-We 05:00-22:00; Fr-Su 05:00-22:00,Tim Hortons,Q175106
059374,uhaul,Cambridge Esso,1817 Brantford Hwy,Cambridge,ON,,CA,+1 226-318-0522,,Mo-Fr 00:00-21:00; Sa 00:00-20:00,U-Haul,Q7862902
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
,visa,,,CAMBRIDGE,ON,,CA,,,,,
