Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
5850,aaa,Stittsville Store,,Stittsville,ON,,CA,+1 613-836-7422,,,American Automobile Association,Q463436
b3327,bmo,HAZELDEAN & HUNTMAR,,STITTSVILLE,ON,,CA,+1 613-836-0861,,Mo-We 09:30-17:00; Th-Fr 09:30-19:00; Sa 09:00-16:00,BMO,Q4835981
abm3327,bmo,HAZELDEAN AND HUNTMAR,,KANATA,ON,,CA,,,,BMO,Q4835981
40242,dollartree,DollarTree,,Stittsville,ON,,CA,+1 613-836-0060,,Mo-Sa 09:00-21:00; Su 10:00-18:00,Dollar Tree,Q5289230
2825,orangetheory_fitness,Kanata - South,,Stittsville,ON,,CA,+1 613-482-4450,,,Orangetheory Fitness,Q25005163
,visa,,,KANATA,ON,,CA,,,,,
,visa,,,KANATA,ON,,CA,,,,,
,visa,,,KANATA,ON,,CA,,,,,
,visa,,,STITTSVILLE,ON,,CA,,,,,
a0d1ee838c15cbdbfe08add5c0b339fb,western_union,H & R BLOCK #54250,,Kanata,ON,,CA,+1 613-519-4464,https://location.westernunion.com/ca/on/kanata/a0d1ee838c15cbdbfe08add5c0b339fb,Mo-Fr 08:00-17:00,Western Union,Q861042
