Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4345,albert_walter,Mapleview Centre,,Burlington,ON,,CA,+1 905-681-3351,https://web.aw.ca/en/locations/4345/burlington/mapleview-centre,Mo-Fr 10:00-20:00; Sa 10:00-18:00; Su 10:30-18:00,A&W,Q2818848
https://storelocations.ae.com/#3505045,american_eagle_outfitters,Aerie Store 900 Maple Avenue,,Burlington,ON,,CA,+1 905-634-3965,https://storelocations.ae.com/fr/ca/on/burlington/01524-900-maple-avenue.html,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Aerie Store,Q2842931
https://storelocations.ae.com/#1725754,american_eagle_outfitters,American Eagle Store 900 Maple Avenue,,Burlington,ON,,CA,+1 905-633-1269,https://storelocations.ae.com/fr/ca/on/burlington/00904-900-maple-avenue.html,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,American Eagle Store,Q2842931
R447,apple,Apple Mapleview Centre,,Burlington,ON,,CA,+1 289-288-2012,https://www.apple.com/ca/retail/mapleviewcentre,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Apple,Q421253
https://bananarepublic.gapcanada.ca/stores/on/burlington/mapleview-centre-8001,bananarepublic,Banana Republic,,Burlington,ON,,CA,+1 905-634-1100,https://bananarepublic.gapcanada.ca/stores/on/burlington/mapleview-centre-8001,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Banana Republic,Q806085
abm0478-1,bmo,MAPLEVIEW CENTRE KIOSK,,BURLINGTON,ON,,CA,,,,BMO,Q4835981
https://ca.coach.com/stores/#17277367,coach_ca,COACH,,Burlington,ON,,CA,+1 289-207-2372,https://ca.coach.com/stores/on/burlington/900-maple-avenue,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Coach,Q727697
https://us.fatface.com/store/mapleview/50491,fatface,Mapleview,,Burlington,ON,,CA,+1 905-634-5841,https://us.fatface.com/store/mapleview/50491,Mo-Su 09:00-17:30,FATFACE,Q5437186
https://stores.footlocker.ca/en/on/burlington/900-maple-avenue-99159.html,footlocker,"Foot Locker in Mapleview Shopping Centre: Burlington, Ontario | Approved | Own It",,Burlington,ON,,CA,+1 905-333-4221,https://stores.footlocker.ca/en/on/burlington/900-maple-avenue-99159.html,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Foot Locker,Q63335
389022,geox,Geox BURLINGTON,,BURLINGTON,ON,,CA,+1 905-632-4369,https://www.geox.com/int/storedetails?StoreID=389022,Mo-Fr 09:55-20:55; Sa 09:25-17:55; Su 10:55-17:55,Geox,Q588001
9925287,hugo_boss,BOSS Shop,,Burlington,ON,,CA,,https://www.hugoboss.com/us/storedetail?storeid=9925287,Mo-Fr 10:00-21:00; Sa 09:30-19:00; Su 11:00-18:00,Hugo Boss,Q491627
5509,jack_and_jones,"Burlington, Mapleview Shopping Centre",,Burlington,ON,,CA,+1 905-639-9481,,,Jack & Jones,Q6077665
Mapleview Mall,lululemon,Lululemon,"900 Maple Avenue, Unit #B16A, Burlington, ON, CA, L7S 2J8",Burlington,ON,,CA,+1 289-273-7890,https://shop.lululemon.com/stores/ca/burlington/mapleview,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Lululemon,Q6702957
ca214cf4a7,pandora,A propos de Boutique Bijoux Pandora Pandora @ Mapleview Centre,,Burlington,ON,,CA,+1 905-927-5092,https://stores.pandora.net/on/burlington/bijoux-pandora-ca214cf4a7.html,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Pandora,Q2241604
3250,recipe_unlimited,New York Fries Mapleview Mall,,Burlington,ON,,CA,+1 905-333-1050,,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,New York Fries,Q7013558
15954,rogers_communications,Mapleview Shopping Centre,,Burlington,ON,,CA,+1 905-632-9050,,,Rogers Communications,Q165684
6458,specsavers,Mapleview Centre,,Burlington,ON,,CA,+1 289-293-1901,https://www.specsavers.ca/stores/mapleviewcentre,,Specsavers,Q2000610
24,sporting_life_ca,Mapleview Centre,,Burlington,ON,,CA,+1 289-812-1220,,Mo-Fr 10:00-21:00; Sa 09:30-18:00; Su 11:00-18:00,Sporting Life,Q7579583
