Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
40133,dollartree,DollarTree,,Burlington,ON,,CA,+1 905-336-3400,,Mo-Sa 09:00-21:00; Su 10:00-18:00,Dollar Tree,Q5289230
7626,recipe_unlimited,Kelseys Original Roadhouse,,Burlington,ON,,CA,+1 905-335-2051,,Mo-We 11:00-22:00; Th-Sa 11:00-23:00; Su 11:00-22:00,Kelseys Original Roadhouse,Q6386459
https://restaurants.subway.com/#14920915,subway,Subway,,Burlington,ON,,CA,+1 905-319-9308,https://restaurants.subway.com/fr_ca/canada/on/burlington/4521-dundas-st,Mo-Fr 08:30-22:00; Sa-Su 09:00-22:00,Subway,Q244457
103695,tim_hortons,Tim Hortons,,Burlington,ON,,CA,+1 905-336-7320,,Mo-We 07:00-22:00; Fr-Su 07:00-22:00,Tim Hortons,Q175106
,visa,,,BURLINGTON,ON,,CA,,,,,
,visa,,,BURLINGTON,ON,,CA,,,,,
,visa,,,BURLINGTON,ON,,CA,,,,,
3170,walmart_ca,"BURLINGTON N., ON",,Burlington,ON,,CA,+1 905-331-0027,,Mo-Sa 07:00-23:00; Su 07:00-22:00,Walmart,Q483551
398d7571615a105a99dd61d4388322ba,western_union,SCOTIABANK #87296,,Burlington,ON,,CA,+1 905-332-4350,https://location.westernunion.com/ca/on/burlington/398d7571615a105a99dd61d4388322ba,Mo-We 09:30-16:30; Th-Fr 09:30-20:00; Sa 09:30-14:00,Western Union,Q861042
a19b64c85a9add29135e76cc74b4a1e7,western_union,WAL MART #3170,,Burlington,ON,,CA,+1 905-331-0027,https://location.westernunion.com/ca/on/burlington/a19b64c85a9add29135e76cc74b4a1e7,Mo-Su 07:00-23:00,Western Union,Q861042
