Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
b2804,bmo,UPPER JAMES & RYMAL,,HAMILTON,ON,,CA,+1 905-575-3089,,Mo-We 09:30-17:00; Th-Fr 09:30-18:00; Sa 09:30-16:00,BMO,Q4835981
abm2804,bmo,UPPER JAMES,,HAMILTON,ON,,CA,,,,BMO,Q4835981
26341_1,bmw_group,Budds' BMW Hamilton,,Hamilton,ON,,CA,+1 905-387-7507,http://www.buddsbmwhamilton.com/,,BMW,Q26678
503,bostonpizza,Upper James,,Hamilton,ON,,CA,0019055740333,https://bostonpizza.com/en/locations/upper-james,,Boston Pizza,Q894578
42165,nissan_europe,PLAZA NISSAN,,HAMILTON,ON,,CA,+1 905-389-3588,https://www.plazanissan.ca,Mo-Sa 09:00-20:00,Nissan,Q20165
3710,recipe_unlimited,The Burger's Priest,,Hamilton,ON,,CA,+1 905-387-9797,,Mo-Su 11:00-24:00,The Burger's Priest,Q100255453
93715,tjx,HAMILTON,1405 Upper James Street,Hamilton,ON,,CA,+1 905-574-9837,,Mo-Fr 09:30-21:00; Sa 09:00-21:00; Su 10:00-19:00,Marshalls,Q15903261
91221,tjx,Hamilton,1508 Upper James Street,Hamilton,ON,,CA,+1 905-574-3700,,Mo-Fr 09:30-21:00; Sa 09:00-21:00; Su 10:00-19:00,Winners,Q845257
,visa,,,HAMILTON,ON,,CA,,,,,
,visa,,,HAMILTON,ON,,CA,,,,,
,visa,,,HAMILTON,ON,,CA,,,,,
,visa,,,HAMILTON,ON,,CA,,,,,
https://locations.wendys.com/#9252775,wendys,"Wendy's Rymal Road in Hamilton, ON",,Hamilton,ON,,CA,+1 905-389-1787,https://locations.wendys.com/canada/on/hamilton/1550-upper-james-street,"Mo-Su 06:30-10:30,07:00-22:00",Wendy's,Q550258
