Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
,visa,,,RHEINFELDEN,AG,,CH,,,,,
405054bd00ce0545949e8e465f345960,western_union,SBB CFF FFS,,Rheinfelden,AG,,CH,+41 800 007 107,https://location.westernunion.com/ch/ag/rheinfelden/405054bd00ce0545949e8e465f345960,Mo-Fr 08:00-18:30; Sa 08:00-15:30,Western Union,Q861042
