Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
223-00232,skoda,AMAG Automobil und Motoren AG AMAG Murten,,,FR,,CH,,,,Skoda,Q29637
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MURTEN,FR,,CH,,,,,
,visa,,,MORAT,FR,,CH,,,,,
ddf45aa6b55ae142845aa75d71081bde,western_union,BLS,,Murten,FR,,CH,+41 800 007 107,https://location.westernunion.com/ch/fr/murten/ddf45aa6b55ae142845aa75d71081bde,Mo-Fr 07:30-18:30; Sa-Su 08:00-17:00,Western Union,Q861042
