City,Place Name,Zipcode,Name
St. Moritz,bmw_group,,unknown,Emil Frey AG St. Moritz
Chur,bmw_group,,unknown,Alpina Chur AG
Davos Dorf,bmw_group,,unknown,Nino Unold AG
Maienfeld,bmw_group,,unknown,Moto Graubünden AG
Ilanz,bmw_group,,unknown,Auto Derungs AG
Landquart,hugo_boss,,unknown,BOSS Outlet
unknown,skoda,,unknown,Thöni AG
Landquart,subway,,unknown,Subway
Chur,subway,,unknown,Subway
SAMEDAN,visa,,unknown,unknown
ROVEREDO,visa,,unknown,unknown
ROVEREDO GR,visa,,unknown,unknown
GRONO,visa,,unknown,unknown
LOSTALLO,visa,,unknown,unknown
CAMPOCOLOGNO,visa,,unknown,unknown
CASTASEGNA,visa,,unknown,unknown
MESOCCO,visa,,unknown,unknown
VICOSOPRANO,visa,,unknown,unknown
SAN BERNARDINO,visa,,unknown,unknown
LI CURT,visa,,unknown,unknown
POSCHIAVO,visa,,unknown,unknown
SILS-MARIA,visa,,unknown,unknown
SILVAPLANA,visa,,unknown,unknown
SPLUEGEN,visa,,unknown,unknown
ST. MORITZ,visa,,unknown,unknown
ST. MORITZ BAD,visa,,unknown,unknown
ST.MORITZ,visa,,unknown,unknown
PONTRESINA,visa,,unknown,unknown
POLTRESINA,visa,,unknown,unknown
SEDRUN,visa,,unknown,unknown
VALS,visa,,unknown,unknown
CELERINA,visa,,unknown,unknown
CELERINA SCHLARIGNA,visa,,unknown,unknown
ANDEER,visa,,unknown,unknown
DISENTIS MUSTER,visa,,unknown,unknown
DISENTIS/MUSTER,visa,,unknown,unknown
SAVOGNIN,visa,,unknown,unknown
SUMVITG,visa,,unknown,unknown
LA PUNT CHAMUES CH,visa,,unknown,unknown
TRUN,visa,,unknown,unknown
VELLA,visa,,unknown,unknown
TIEFENCASTEL,visa,,unknown,unknown
ZUOZ,visa,,unknown,unknown
THUSIS,visa,,unknown,unknown
OBERSAXEN,visa,,unknown,unknown
OBERSAXEN MEIERHOF,visa,,unknown,unknown
OBERSAXEN AFFEIER,visa,,unknown,unknown
SEEWIS DORF,visa,,unknown,unknown
SCHIERS,visa,,unknown,unknown
BREIL BRIGELS,visa,,unknown,unknown
BRIGELS,visa,,unknown,unknown
CAZIS,visa,,unknown,unknown
ILANZ,visa,,unknown,unknown
LENZERHEIDE,visa,,unknown,unknown
LENZERHEIDE/LAI,visa,,unknown,unknown
LENZERHEIDE LAI,visa,,unknown,unknown
VALCHAVA,visa,,unknown,unknown
VALBELLA,visa,,unknown,unknown
STA. MARIA I. M.,visa,,unknown,unknown
STA. MARIA IM MUENSTERTAL,visa,,unknown,unknown
FALERA,visa,,unknown,unknown
LAAX,visa,,unknown,unknown
LAAX DORF,visa,,unknown,unknown
PARPAN,visa,,unknown,unknown
MUESTAIR,visa,,unknown,unknown
RHAEZUENS,visa,,unknown,unknown
CHURWALDEN,visa,,unknown,unknown
LAAX GR 2,visa,,unknown,unknown
FLIMS WALDHAUS,visa,,unknown,unknown
ZERNEZ,visa,,unknown,unknown
BONADUZ,visa,,unknown,unknown
FLIMS,visa,,unknown,unknown
FLIMS DORF,visa,,unknown,unknown
AROSA,visa,,unknown,unknown
DOMAT EMS,visa,,unknown,unknown
DOMAT/EMS,visa,,unknown,unknown
SUSCH,visa,,unknown,unknown
FELSBERG,visa,,unknown,unknown
DAVOS PLATZ,visa,,unknown,unknown
DAVOS-PLATZ,visa,,unknown,unknown
CHUR,visa,,unknown,unknown
COIRA,visa,,unknown,unknown
DAVOS,visa,,unknown,unknown
DAVOS DORF,visa,,unknown,unknown
CHUR WIESENTAL,visa,,unknown,unknown
ARDEZ,visa,,unknown,unknown
TRIMMIS,visa,,unknown,unknown
SCUOL,visa,,unknown,unknown
KLOSTERS,visa,,unknown,unknown
UNTERVAZ,visa,,unknown,unknown
ZIZERS,visa,,unknown,unknown
SENT,visa,,unknown,unknown
IGIS,visa,,unknown,unknown
KUEBLIS,visa,,unknown,unknown
JENAZ,visa,,unknown,unknown
LANDQUART,visa,,unknown,unknown
PANY,visa,,unknown,unknown
GRUESCH,visa,,unknown,unknown
MALANS,visa,,unknown,unknown
MAIENFELD,visa,,unknown,unknown
SAMNAUN DORF,visa,,unknown,unknown
Pontresina,western_union,,unknown,RHB
Samedan,western_union,,unknown,RHB
Ilanz,western_union,,unknown,RHB
Thusis,western_union,,unknown,RHB
St Moritz,western_union,,unknown,RHB
Domat Ems,western_union,,unknown,RHB
Arosa,western_union,,unknown,RHB
Chur,western_union,,unknown,ALL4ME.CH GMBH
Davos,western_union,,unknown,RHB
Klosters,western_union,,unknown,RHB
Scuol Tarasp,western_union,,unknown,RHB
Schiers,western_union,,unknown,RHB
