Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
30631_2,bmw_group,Bickel Auto AG,,Weinfelden,TG,,CH,+41 71 622 64 44,https://www.BickelAutoAG.ch,,BMW,Q26678
223-00272,skoda,AMAG Automobil und Motoren AG AMAG Weinfelden,,,TG,,CH,,,,Skoda,Q29637
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
,visa,,,WEINFELDEN,TG,,CH,,,,,
d5ae364e227206492ff39ac27877d0a4,western_union,SBB CFF FFS,,Weinfelden,TG,,CH,+41 800 007 107,https://location.westernunion.com/ch/tg/weinfelden/d5ae364e227206492ff39ac27877d0a4,Mo-Fr 08:00-18:30; Sa 08:00-17:00,Western Union,Q861042
