Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
grancia/1080,claires,Shop Ear Piercings & Jewellery at Grancia,,Grancia,,,CH,+41 91 261 42 92,https://stores.claires.com/ch-ti/grancia/1080.html,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,Claire's,Q2974996
CH0048,c_and_a,Grancia Centro Lugano Sud,"Via Cantonale 48, 6916 Grancia",Grancia,,,CH,,https://www.c-and-a.com/stores/ch-de/tessin/grancia/via-cantonale-48.html,Mo 09:00-19:00; Tu 09:00-19:00; We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,C&A,Q701338
via-cantonale-16-6916-grancia,denner_ch,Denner,,Grancia,,,CH,+41 58 999 08 15,https://www.denner.ch/de/filialen/denner-filiale-und-oeffnungszeiten/store/via-cantonale-16-6916-grancia/,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,Denner,Q379911
88,fust_ch,Fust,,Grancia,,,CH,+41 91 960 53 70,https://www.fust.ch/de/service-navigation/filialen/dipl-ing-fust-1000081.html,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,Fust,Q1227164
publibike:f867ed08-e39e-4569-94e3-72c7bc2c234f,gbfs,Centro Lugano Sud,,,,,CH,,https://www.publibike.ch,,PubliBike,
101,ikea,Grancia,,Grancia,,,CH,,https://www.ikea.com/ch/it/stores/grancia/,Mo-We 09:00-18:30; Th 09:00-21:00; Fr-Sa 09:00-18:30,IKEA,Q54078
5185,jack_and_jones,Grancia - Centro Lugano Sud,,Grancia,,,CH,+41 21 311 91 50,,,Jack & Jones,Q6077665
6117,jysk,Grancia,,Grancia,,,CH,+41 91 985 07 00,https://jysk.ch/de/filialen?storeId=6117,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,JYSK,Q138913
dealer_80716,maserati,LORIS KESSEL AUTO,,PAMBIO - NORANCO,,,CH,+41 91 980 41 91,https://www.maserati.com/ch/it/dealers/loris-kessel-auto,,Maserati,Q35962
dealer_80975,maserati,RACING CAR,,GRANCIA,,,CH,,,,Maserati,Q35962
0127230_out,migros_ch,Outlet Migros,,Grancia,,,CH,+41 91 821 72 72,https://filialen.migros.ch/de/m-outlet-grancia,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,Outlet Migros,Q115659564
0125540_res,migros_ch,Migros Restaurant,,Grancia,,,CH,+41 91 821 73 70,https://filialen.migros.ch/de/migros-restaurant-grancia,Mo-We 08:00-19:00; Th 08:00-21:00; Fr 08:00-19:00; Sa 08:00-18:30,Migros Restaurant,Q111803848
0123790_super,migros_ch,Migros,,Grancia,,,CH,+41 91 821 72 70,https://filialen.migros.ch/de/migros-supermarkt-grancia,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,Migros,Q115661152
5301,mueller,Müller,,Grancia,,,CH,+41 91 605 40 31,https://www.mueller.ch/meine-filiale/grancia/via-cantonale-22/,,Müller,Q1958759
5b3cb3fac00458481b437526,newyorker,NEW YORKER | Centro Lugano-Sud,"Centro Lugano Sud, 6916 Grancia (Lugano)",Grancia (Lugano),,,CH,+41 91 960 52 15,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:30,New Yorker,Q706421
,visa,,,GRANCIA,,,CH,,,,,
,visa,,,GRANCIA,,,CH,,,,,
