City,Place Name,Zipcode,Name
Niete,western_union,,unknown,EMI MONEY NIETE
Kribi,western_union,,unknown,HP KRIBI 1
Kyeossi,western_union,,unknown,EMI MONEY KYEOSSI 1
Ebolowa,western_union,,unknown,EMI MONEY EBOLOWA
Sangmelima,western_union,,unknown,CCA SANGMELIMA
Ambam,western_union,,unknown,SCB AMBAM
Kye Ossi,western_union,,unknown,GAJO TRADING KYE OSSI
Djoum,western_union,,unknown,REG DJOUM
Zoetele,western_union,,unknown,EXPRESS EXCHANGE ZOETELE
Meyomessala,western_union,,unknown,EXPRESS EXCHANGE MEYOMESSALA
