Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ec085bc95e107b03d55bcf1d37581ecf,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuzhou,FUJIAN,,CN,+86 591 8577 1505,https://location.westernunion.com/cn/fujian/fuzhou/ec085bc95e107b03d55bcf1d37581ecf,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
e521508775c9290bce6ddd2b9508b245,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 8597,https://location.westernunion.com/cn/fujian/fuqing/e521508775c9290bce6ddd2b9508b245,Mo-Su 09:00-17:00,Western Union,Q861042
6dd919a264c304fa615c1409a3a6657f,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 3004,https://location.westernunion.com/cn/fujian/fuqing/6dd919a264c304fa615c1409a3a6657f,Mo-Su 09:00-17:00,Western Union,Q861042
e964df4a747a7915f343406d7c658fd1,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8600 5392,https://location.westernunion.com/cn/fujian/fuqing/e964df4a747a7915f343406d7c658fd1,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
991f34c091cccdf67ce5889da339d049,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 2274,https://location.westernunion.com/cn/fujian/fuqing/991f34c091cccdf67ce5889da339d049,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
77261d236a530f11013442a1dc5df886,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 4054,https://location.westernunion.com/cn/fujian/fuqing/77261d236a530f11013442a1dc5df886,Mo-Su 09:00-17:00,Western Union,Q861042
2e9e82a64806024249f58f25078d3ae2,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8516 9983,https://location.westernunion.com/cn/fujian/fuqing/2e9e82a64806024249f58f25078d3ae2,Mo-Su 09:00-17:00,Western Union,Q861042
505b8fcbada11142bf2b17893de1ad5a,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 2940,https://location.westernunion.com/cn/fujian/fuqing/505b8fcbada11142bf2b17893de1ad5a,Mo-Su 09:00-17:00,Western Union,Q861042
367c9287149352f93690973357b99dcd,western_union,BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8521 4164,https://location.westernunion.com/cn/fujian/fuqing/367c9287149352f93690973357b99dcd,Mo-Su 09:00-17:00,Western Union,Q861042
b40ca6bbc9cd1d28f3e998e275dcc7fa,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8526 7960,https://location.westernunion.com/cn/fujian/fuqing/b40ca6bbc9cd1d28f3e998e275dcc7fa,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
3f3ab4a770d1021e6a415c536aac6dd6,western_union,BANK OF CHINA LIMITED,,Fuqing,FUJIAN,,CN,+86 591 8516 9131,https://location.westernunion.com/cn/fujian/fuqing/3f3ab4a770d1021e6a415c536aac6dd6,Mo-Su 09:00-17:00,Western Union,Q861042
048603316e10678444fe5bf9c30280b9,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8516 1289,https://location.westernunion.com/cn/fujian/fuqing/048603316e10678444fe5bf9c30280b9,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
13117bc91e2ec8e1773fb57032c8d0f4,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8600 2177,https://location.westernunion.com/cn/fujian/fuqing/13117bc91e2ec8e1773fb57032c8d0f4,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
33be7bc8e74fe360015859267e330b20,western_union,POSTAL SAVINGS BANK OF CHINA,,Fuqing,FUJIAN,,CN,+86 591 8526 9392,https://location.westernunion.com/cn/fujian/fuqing/33be7bc8e74fe360015859267e330b20,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
