Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ee713dd5998649100abfde7c419d515c,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 226 2276,https://location.westernunion.com/cn/guangdong/kaiping/ee713dd5998649100abfde7c419d515c,Mo-Su 09:00-17:00,Western Union,Q861042
d7ad5fb40f8d613dd002c9b3b95795c1,western_union,POSTAL SAVINGS BANK OF CHINA,,Jiangmen,GUANGDONG,,CN,+86 750 263 5095,https://location.westernunion.com/cn/guangdong/jiangmen/d7ad5fb40f8d613dd002c9b3b95795c1,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
ed8e6ae35624e2af6cd75e9e16b3594b,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 228 3757,https://location.westernunion.com/cn/guangdong/kaiping/ed8e6ae35624e2af6cd75e9e16b3594b,Mo-Su 09:00-17:00,Western Union,Q861042
db85dfa1a80baa016d5ecffcbf1be7e4,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 230 3321,https://location.westernunion.com/cn/guangdong/kaiping/db85dfa1a80baa016d5ecffcbf1be7e4,Mo-Su 09:00-17:00,Western Union,Q861042
90262e298324a507edc870d768e09351,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 228 6607,https://location.westernunion.com/cn/guangdong/jiangmen/90262e298324a507edc870d768e09351,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
9c187f44241976e0ecda4ad2c8d6e1d0,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 232 8695,https://location.westernunion.com/cn/guangdong/kaiping/9c187f44241976e0ecda4ad2c8d6e1d0,Mo-Su 09:00-17:00,Western Union,Q861042
7e4b168c049f5e643a784ba94d979831,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 221 5441,https://location.westernunion.com/cn/guangdong/kaiping/7e4b168c049f5e643a784ba94d979831,Mo-Su 09:00-17:00,Western Union,Q861042
c2c9d243f7395fb358f3b74e714c012d,western_union,CHINA EVERBRIGHT BANK,,Kaiping,GUANGDONG,,CN,+86 750 221 2801,https://location.westernunion.com/cn/guangdong/kaiping/c2c9d243f7395fb358f3b74e714c012d,Mo-Fr 09:00-17:00,Western Union,Q861042
edd3c03aec729169ab92384d4e53ae1f,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 221 3117,https://location.westernunion.com/cn/guangdong/kaiping/edd3c03aec729169ab92384d4e53ae1f,Mo-Su 09:00-17:00,Western Union,Q861042
3b69fda66f71e0e153a47e67aa5c4e1f,western_union,POSTAL SAVINGS BANK OF CHINA,,Jiangmen,GUANGDONG,,CN,+86 750 263 5101,https://location.westernunion.com/cn/guangdong/jiangmen/3b69fda66f71e0e153a47e67aa5c4e1f,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
c432fd1b36b9d1a1f41f9c1654fc106f,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 229 2732,https://location.westernunion.com/cn/guangdong/kaiping/c432fd1b36b9d1a1f41f9c1654fc106f,Mo-Su 09:00-17:00,Western Union,Q861042
4d8540e7909e7ae631a2e6beae9e4bb1,western_union,BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 233 2752,https://location.westernunion.com/cn/guangdong/kaiping/4d8540e7909e7ae631a2e6beae9e4bb1,Mo-Su 09:00-17:00,Western Union,Q861042
28008ea658074ab8e5d3e2affa0b2464,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 236 0280,https://location.westernunion.com/cn/guangdong/jiangmen/28008ea658074ab8e5d3e2affa0b2464,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
b0554230e4ceca1031d9431c5eb9764a,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 271 2456,https://location.westernunion.com/cn/guangdong/jiangmen/b0554230e4ceca1031d9431c5eb9764a,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
d6de930aa1e69115d3927740cc4074b9,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 228 7010,https://location.westernunion.com/cn/guangdong/jiangmen/d6de930aa1e69115d3927740cc4074b9,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
92549313169fd2878dc40df9cf70b082,western_union,POSTAL SAVINGS BANK OF CHINA,,Jiangmen,GUANGDONG,,CN,+86 750 221 3622,https://location.westernunion.com/cn/guangdong/jiangmen/92549313169fd2878dc40df9cf70b082,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
bb1e5b75138a3eaad844d1d2fddea704,western_union,POSTAL SAVINGS BANK OF CHINA,,Kaiping,GUANGDONG,,CN,+86 750 221 7768,https://location.westernunion.com/cn/guangdong/kaiping/bb1e5b75138a3eaad844d1d2fddea704,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
c86690b1b5605bddb5b42805923f4ccd,western_union,POSTAL SAVINGS BANK OF CHINA,,Jiangmen,GUANGDONG,,CN,+86 750 202 0611,https://location.westernunion.com/cn/guangdong/jiangmen/c86690b1b5605bddb5b42805923f4ccd,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
c8c28b93780cf11b43818a5c1204522d,western_union,POSTAL SAVINGS BANK OF CHINA,,Jiangmen,GUANGDONG,,CN,+86 750 233 2141,https://location.westernunion.com/cn/guangdong/jiangmen/c8c28b93780cf11b43818a5c1204522d,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
335be174de841bacd5432db3f46ea430,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 232 7137,https://location.westernunion.com/cn/guangdong/jiangmen/335be174de841bacd5432db3f46ea430,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
e99ff64ac3b71c6774f6199a9441bbfe,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 227 9597,https://location.westernunion.com/cn/guangdong/jiangmen/e99ff64ac3b71c6774f6199a9441bbfe,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
7458749f9bb7040e943fdf2560e39646,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 229 6977,https://location.westernunion.com/cn/guangdong/jiangmen/7458749f9bb7040e943fdf2560e39646,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
811292dc93f15d664794a869946f790e,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 261 2700,https://location.westernunion.com/cn/guangdong/jiangmen/811292dc93f15d664794a869946f790e,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
6076cfc00ddf47a5caf6bf2e1bf31efe,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 233 3037,https://location.westernunion.com/cn/guangdong/jiangmen/6076cfc00ddf47a5caf6bf2e1bf31efe,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
36d9a05ea618ef12c9574991f606ac28,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 239 1186,https://location.westernunion.com/cn/guangdong/jiangmen/36d9a05ea618ef12c9574991f606ac28,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
3049e66d5401612e8368191c021a27d6,western_union,CHINA CONSTRUCTION BANK,,Jiangmen,GUANGDONG,,CN,+86 750 228 6615,https://location.westernunion.com/cn/guangdong/jiangmen/3049e66d5401612e8368191c021a27d6,Mo-Fr 09:00-17:00; Sa 10:00-16:00,Western Union,Q861042
