Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CHNA10517,audi,"Zunyi chi'ao Automobile Sales & Service Co., Ltd.","1000m south of Qianbei Auto Park, Zunnan Road, Longkeng Town, Bozhou District, Zunyi, 563000 Zunyi",Zunyi,Guizhou Sheng,,CN,+86 851 380 2222,,,Audi,Q23317
CHNA10915,audi,"Zunyi Chi'aoda Automobile Sales & Service Co., Ltd.",563000 Zunyi,Zunyi,Guizhou Sheng,,CN,,,,Audi,Q23317
c37233297c022d990d50d454a69a01f9,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2775 9950,https://location.westernunion.com/cn/guizhou/zunyi/c37233297c022d990d50d454a69a01f9,Mo-Su 09:00-17:00,Western Union,Q861042
f181c6538da5505509ac6923a7781f17,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2882 5264,https://location.westernunion.com/cn/guizhou/zunyi/f181c6538da5505509ac6923a7781f17,Mo-Su 09:00-17:00,Western Union,Q861042
e3c6c7ecea9550cac4c9ae819fdf6019,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2887 1123,https://location.westernunion.com/cn/guizhou/zunyi/e3c6c7ecea9550cac4c9ae819fdf6019,Mo-Su 09:00-17:00,Western Union,Q861042
d3da679caba24a743a756ecb0f1e5e89,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2822 0554,https://location.westernunion.com/cn/guizhou/zunyi/d3da679caba24a743a756ecb0f1e5e89,Mo-Su 09:00-17:00,Western Union,Q861042
4dddb091ca255efbad63e8881d5592b7,western_union,POSTAL SAVINGS BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 852 822 1224,https://location.westernunion.com/cn/guizhou/zunyi/4dddb091ca255efbad63e8881d5592b7,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
df1c434c502bcc1d19fae250e768649d,western_union,CHINA EVERBRIGHT BANK,,Zunyi,GUIZHOU,,CN,+86 851 2895 1602,https://location.westernunion.com/cn/guizhou/zunyi/df1c434c502bcc1d19fae250e768649d,Mo-Su 09:00-17:30,Western Union,Q861042
d4dc9ab62de153e8dc2cc266c8d537c3,western_union,CHINA CONSTRUCTION BANK,,Zhunyi,GUIZHOU,,CN,+86 852 822 8139,https://location.westernunion.com/cn/guizhou/zhunyi/d4dc9ab62de153e8dc2cc266c8d537c3,Mo-Su 09:00-17:00,Western Union,Q861042
ce29fc2894ba7a964e781fb7339c273f,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2822 5230,https://location.westernunion.com/cn/guizhou/zunyi/ce29fc2894ba7a964e781fb7339c273f,Mo-Su 09:00-17:00,Western Union,Q861042
e05b33cd0b5459321c891582368f740c,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2840 8176,https://location.westernunion.com/cn/guizhou/zunyi/e05b33cd0b5459321c891582368f740c,Mo-Su 09:00-17:00,Western Union,Q861042
a650f0c59ddb79e91b181144f5cc0e38,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2862 1554,https://location.westernunion.com/cn/guizhou/zunyi/a650f0c59ddb79e91b181144f5cc0e38,Mo-Su 09:00-17:00,Western Union,Q861042
6867b541e5657807c3c564824aba74b8,western_union,BANK OF CHINA,,Zunyi,GUIZHOU,,CN,+86 851 2822 5367,https://location.westernunion.com/cn/guizhou/zunyi/6867b541e5657807c3c564824aba74b8,Mo-Su 09:00-17:00,Western Union,Q861042
