City,Place Name,Zipcode,Name
Xining,audi,No.182 Tongan Road Chengzhong District Xining 182 810007 Xining,unknown,"Qinghai Jindao Automotive Sales Co., Ltd."
Xining,audi,No.54 Haihu Road Chengbei Road Xining 54 810003 Xining,unknown,"Qinghai Jiaaosheng Automobile Sales & Service Co., Ltd."
Xining,audi,No.6 Kunlun East Road Economic and Technological Development Disctrict Xining 6 630100 Xining,unknown,"Qinghai JindaoAutomobile Service Co., Ltd."
Xining,hm,,unknown,Haihu Wanda Plaza
HAIXI,visa,,unknown,unknown
YUSHU,visa,,unknown,unknown
GOLOG,visa,,unknown,unknown
HAIBEI,visa,,unknown,unknown
HAINAN,visa,,unknown,unknown
XINING,visa,,unknown,unknown
HUANGNAN,visa,,unknown,unknown
HAIDONG,visa,,unknown,unknown
Geermu,western_union,,unknown,BANK OF CHINA
Hainanzhou,western_union,,unknown,POSTAL SAVINGS BANK OF CHINA
Guoluozhou,western_union,,unknown,POSTAL SAVINGS BANK OF CHINA
Xining,western_union,,unknown,BANK OF CHINA
Haidong,western_union,,unknown,BANK OF CHINA
Tongren,western_union,,unknown,POSTAL SAVINGS BANK OF CHINA
