Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
3fd0f67e-38cb-4a0f-8806-1dac541773af,nike,TOPSPORTS山东淄博张店区金晶大道淄博商厦NIKE SPORT-M,,淄博,山东,,CN,+86 186 7823 7572,https://www.nike.com/retail/s/topsports山东淄博张店区金晶大道淄博商厦nike sport-m,Mo-Su 10:00-22:00,Nike,Q483915
81d61386-d1f7-45e3-b0ae-b60dd6e4993f,nike,山东省淄博市张店区万象汇KICKS LOUNGE-L1,,淄博,山东,,CN,+86 186 6342 8890,https://www.nike.com/retail/s/山东省淄博市张店区万象汇kicks lounge-l1,Mo-Su 10:00-22:00,Nike,Q483915
82f5e109-8198-4048-b893-64e386d9abab,nike,山东省淄博市张店区万象汇BEACON-L2 EXTENDED,,淄博,山东,,CN,+86 178 6592 8777,https://www.nike.com/retail/s/山东省淄博市张店区万象汇beacon-l2 extended,Mo-Su 10:00-22:00,Nike,Q483915
e3f8b0940a2701052eb9baa2014bce3e,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 217 4815,https://location.westernunion.com/cn/shandong/zibo/e3f8b0940a2701052eb9baa2014bce3e,Mo-Fr 08:30-16:30; Su 08:30-16:30,Western Union,Q861042
c7abdfb2fa61a4c45220312ed2f16e19,western_union,POSTAL SAVINGS BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 288 2918,https://location.westernunion.com/cn/shandong/zibo/c7abdfb2fa61a4c45220312ed2f16e19,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
682e29754daef2f491d96da177515234,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 277 9695,https://location.westernunion.com/cn/shandong/zibo/682e29754daef2f491d96da177515234,Mo-Sa 08:30-16:00,Western Union,Q861042
5826959aad011906f0f4ffb15479967f,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 231 1717,https://location.westernunion.com/cn/shandong/zibo/5826959aad011906f0f4ffb15479967f,Mo-Sa 08:30-16:30,Western Union,Q861042
0dc6e59e1f42602b05b456e4dce0e7f0,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 228 3784,https://location.westernunion.com/cn/shandong/zibo/0dc6e59e1f42602b05b456e4dce0e7f0,Mo-Fr 08:30-16:30; Su 08:30-16:30,Western Union,Q861042
24906812ad82be5b8801b07a0041574a,western_union,CHINA EVERBRIGHT BANK CO. LTD,,Zibo,SHANDONG,,CN,+86 533 316 6331,https://location.westernunion.com/cn/shandong/zibo/24906812ad82be5b8801b07a0041574a,Mo-Su 08:30-16:00,Western Union,Q861042
ff446a2cf9ed5c44670a568477aceafe,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 318 1084,https://location.westernunion.com/cn/shandong/zibo/ff446a2cf9ed5c44670a568477aceafe,Mo-Fr 08:30-16:30; Su 08:30-16:30,Western Union,Q861042
74810faea268c31b7fc5101a426878df,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 271 2040,https://location.westernunion.com/cn/shandong/zibo/74810faea268c31b7fc5101a426878df,Mo-Fr 08:30-16:30; Su 08:30-16:30,Western Union,Q861042
186f0f4987263dab05ec7091237780a4,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 318 3760,https://location.westernunion.com/cn/shandong/zibo/186f0f4987263dab05ec7091237780a4,Mo-Sa 08:30-16:30,Western Union,Q861042
fa8e5e80cb7dbf414e364a11b20396db,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 277 9523,https://location.westernunion.com/cn/shandong/zibo/fa8e5e80cb7dbf414e364a11b20396db,Mo-Fr 08:30-16:30; Su 08:30-16:30,Western Union,Q861042
91af177a25f9c3ebb208caff54a5ba29,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 312 0304,https://location.westernunion.com/cn/shandong/zibo/91af177a25f9c3ebb208caff54a5ba29,Mo-Sa 08:30-16:30,Western Union,Q861042
ee775308cd89fdc80df91e1261073cd4,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 267 7781,https://location.westernunion.com/cn/shandong/zibo/ee775308cd89fdc80df91e1261073cd4,Mo-Sa 08:30-16:00,Western Union,Q861042
82203befd01ba8b6e3d0a781d12a770b,western_union,BANK OF CHINA,,Zibo,SHANDONG,,CN,+86 533 311 7959,https://location.westernunion.com/cn/shandong/zibo/82203befd01ba8b6e3d0a781d12a770b,Mo-Fr 08:30-16:00; Su 08:30-16:00,Western Union,Q861042
