Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CHNA10310,audi,"Weiling Jin'aoda Auto Sales & Service Co., Ltd.","Jiulong Road southbound, Dong Residential District, Wenling, 317500 Taizhou",Taizhou,Zhejiang Sheng,,CN,+86 576 8628 5555,,,Audi,Q23317
7f256a415f015a12823879b0dee6f4d6,western_union,CHINA CONSTRUCTION BANK,,Taizhou,ZHEJIANG,,CN,+86 576 8698 6996,https://location.westernunion.com/cn/zhejiang/taizhou/7f256a415f015a12823879b0dee6f4d6,Mo-Fr 09:00-17:00; Sa-Su 08:00-17:00,Western Union,Q861042
45d6511769e98c465cad94cb8b6dcd92,western_union,CHINA CONSTRUCTION BANK,,Taizhou,ZHEJIANG,,CN,+86 576 8655 1581,https://location.westernunion.com/cn/zhejiang/taizhou/45d6511769e98c465cad94cb8b6dcd92,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,Western Union,Q861042
7851cc684f8237b66060628e22a80d71,western_union,CHINA CONSTRUCTION BANK,,Taizhou,ZHEJIANG,,CN,+86 576 8644 2715,https://location.westernunion.com/cn/zhejiang/taizhou/7851cc684f8237b66060628e22a80d71,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,Western Union,Q861042
06c4dba994bdff3e4c7cabd253f7245c,western_union,BANK OF CHINA,,Wenling,ZHEJIANG,,CN,+86 576 8622 0549,https://location.westernunion.com/cn/zhejiang/wenling/06c4dba994bdff3e4c7cabd253f7245c,Mo-Su 09:00-17:00,Western Union,Q861042
189da4471a286ae0f0b2fe2393906a72,western_union,POSTAL SAVINGS BANK OF CHINA,,Wenling,ZHEJIANG,,CN,(+86) 576-6142610,https://location.westernunion.com/cn/zhejiang/wenling/189da4471a286ae0f0b2fe2393906a72,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
1d97308028a355a95e706746702c5263,western_union,BANK OF CHINA,,Wenling,ZHEJIANG,,CN,+86 576 8622 1022,https://location.westernunion.com/cn/zhejiang/wenling/1d97308028a355a95e706746702c5263,Mo-Su 09:00-17:00,Western Union,Q861042
1b6d93a57cb9846e503d2b31d0cc65f4,western_union,CHINA CONSTRUCTION BANK,,Taizhou,ZHEJIANG,,CN,+86 576 8666 2349,https://location.westernunion.com/cn/zhejiang/taizhou/1b6d93a57cb9846e503d2b31d0cc65f4,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,Western Union,Q861042
e2ee024021fb0e16f4682969006d4562,western_union,CHINA EVERBRIGHT BANK CO. LTD,,Wenling,ZHEJIANG,,CN,+86 576 8162 3900,https://location.westernunion.com/cn/zhejiang/wenling/e2ee024021fb0e16f4682969006d4562,Mo-Su 08:30-16:30,Western Union,Q861042
b0664b1fe57746f8755de954cfbe3b7b,western_union,CHINA EVERBRIGHT BANK CO. LTD,,Wenling,ZHEJIANG,,CN,+86 576 8162 3900,https://location.westernunion.com/cn/zhejiang/wenling/b0664b1fe57746f8755de954cfbe3b7b,Mo-Su 08:30-16:30,Western Union,Q861042
6db08df37625963e52b935e8ae6bad79,western_union,BANK OF CHINA,,Wenling,ZHEJIANG,,CN,+86 576 8610 9517,https://location.westernunion.com/cn/zhejiang/wenling/6db08df37625963e52b935e8ae6bad79,Mo-Su 09:00-17:00,Western Union,Q861042
4fa32866c150a09f9daadad03d6e2cce,western_union,CHINA CONSTRUCTION BANK,,Taizhou,ZHEJIANG,,CN,+86 576 8620 6915,https://location.westernunion.com/cn/zhejiang/taizhou/4fa32866c150a09f9daadad03d6e2cce,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,Western Union,Q861042
