Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN497791,adidas,adidas Outlet Store Yichang,,宜昌市,,,CN,+8600717-6063860,https://www.adidas.co.uk/storefront/CN497791-宜昌市-体育场北路169号-adidas-outlet-store-yichang,,Adidas,Q3895
66865166,moneygram,BOC - #31523 - HUBYC SANXIA SUB-BR,,YICHANG,,,CN,+86 717 622 7483,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66865878,moneygram,BOC - #11943 - HUBYC GEZHOUBA SUB-BR,,YICHANG,,,CN,+86 717 645 0236,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66865894,moneygram,BOC - #11945 - HUBYC CHENGDONG SUB-BR,,YICHANG,,,CN,+86 717 634 4949,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66865904,moneygram,BOC - #11953 - HUBYC XIAOXITA SUB-BR,,YICHANG,,,CN,+86 717 720 0931,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867588,moneygram,BOC - #11935 - HUBYC  WUJIA SUB-BR,,YICHANG,,,CN,+86 717 649 3003,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66869094,moneygram,BOC - #11939 - HUBYC BEISHAN SUB-BR,,YICHANG,,,CN,+86 717 646 7626,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66869104,moneygram,BOC - #11940 - HUBYC CHANGJIANG MARKET S,,YICHANG,,,CN,+86 717 785 2839,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867643,moneygram,BOC - #11954 - HUBYC  XINGHUO ROAD SUB-B,,YICHANG,,,CN,+86 717 629 1560,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867601,moneygram,BOC - #11938 - HUBYC WULIN ROAD SUB-BR,,YICHANG,,,CN,+86 717 656 2589,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867630,moneygram,BOC - #11947 - HUBYC  ZHONGSHAN ROAD SUB,,YICHANG,,,CN,+86 717 674 3521,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867627,moneygram,BOC - #11946 - HUBYC GUOYUAN ROAD SUB-BR,,YICHANG,,,CN,+86 717 644 0417,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868600,moneygram,BOC - #11936 - HUBYC GANGYAO ROAD SUB-BR,,YICHANG,,,CN,+86 717 634 7705,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868642,moneygram,BOC - #11955 - HUBYC XIAOTING SUB-BR,,YICHANG,,,CN,+86 717 651 2825,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868639,moneygram,BOC - #11942 - HUBYC  DONGSHAN SUB-BR,,YICHANG,,,CN,+86 717 634 4339,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66868626,moneygram,BOC - #11949 - HUBYC ERMA ROAD SUB-BR,,YICHANG,,,CN,+86 717 622 5946,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867614,moneygram,BOC - #11944 - HUBYC PINGHU SUB-BR,,YICHANG,,,CN,+86 717 671 6668,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66867562,moneygram,BOC - #11951 - HUBYC DONGXING SUB-BR,,YICHANG,,,CN,+86 717 675 3255,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
