Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
zhabrhx-hampton-beihai-high-speed-train-station,hilton,Hampton by Hilton Beihai High-Speed Train Station,"Bldg D, 138 Beijing Rd, Haicheng District, Beihai, 536000, China",,,,CN,+86 779 688 8888,https://www.hilton.com/ar/hotels/zhabrhx-hampton-beihai-high-speed-train-station/,,Hampton by Hilton,Q5646230
72007992,moneygram,BOC - #35028 - BEIHAI - YIN HAI QU SUB-B,,BEIHAI,,,CN,+86 779 305 6441,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68893220,moneygram,BOC - #14692 - GXBH BEI HAI GONG YE YUAN,,BEIHAI,,,CN,+86 779 399 8976,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
74959019,moneygram,BOC - #43767 - BEIHAI - PUBEI SUB-BRANCH,,BEIHAI,,,CN,3997244,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
74959006,moneygram,BOC - #24099 - BEIHAI - HIGH-TECH ZONE S,,BEIHAI,,,CN,3997244,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66808217,moneygram,BOC - #14518 - GXBH BEIBUWAN SQUARE SUBB,,BEIHAI,,,CN,+86 779 399 8976,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806248,moneygram,BOC - #14522 - GXBH TIESHAN'GANG SUBBRAN,,BEIHAI,,,CN,+86 779 890 5230,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806251,moneygram,BOC - #14520 - GXBH BEIJING NANLU SUBBRA,,BEIHAI,,,CN,+86 779 320 7279,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806785,moneygram,BOC - #14656 - GXBH BEIHAI BRANCH,,BEIHAI,,,CN,+86 779 303 1254,,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,MoneyGram,Q1944412
66806808,moneygram,BOC - #14527 - GXBH HUNANLU SUBBR,,BEIHAI,,,CN,+86 779 207 6511,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806811,moneygram,BOC - #14521 - GXBH GAODE SUBBRANCH,,BEIHAI,,,CN,+86 779 205 6595,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806824,moneygram,BOC - #14525 - GXBH GUAGNDONGLU SUBBRANC,,BEIHAI,,,CN,+86 779 202 9017,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806837,moneygram,BOC - #14515 - GXBH HEPINGDONGLU SUBBRAN,,BEIHAI,,,CN,+86 779 202 9661,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806866,moneygram,BOC - #14517 - GXBH YUNNAN NANLU SUBBRAN,,BEIHAI,,,CN,+86 779 380 0370,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806853,moneygram,BOC - #14519 - GXBH BEIBUWAN XILU SUBBRA,,BEIHAI,,,CN,+86 779 303 1255,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66806840,moneygram,BOC - #14528 - GXBH GUANGDONGNANLU SUBBR,,BEIHAI,,,CN,+86 779 383 3209,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66807687,moneygram,BOC - #14526 - GXBH YUNNANBEILU SUBBRANC,,BEIHAI,,,CN,+86 779 390 3059,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66807674,moneygram,BOC - #14524 - GXBH BEIJINGLU SUBBRANCH,,BEIHAI,,,CN,+86 779 202 6846,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
66807690,moneygram,BOC - #14516 - GXBH WANGSHENGLU SUBBRANC,,BEIHAI,,,CN,+86 779 202 6591,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
