Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN_60DG,shell,郑州新郑少典路加油站,,郑州,河南,,CN,,https://find.shell.com/cn/fuel/CN_60DG-,,Shell,Q110716465
CN_60FO,shell,郑州市郑尉路加油站,,郑州,河南,,CN,,https://find.shell.com/cn/fuel/CN_60FO-,,Shell,Q110716465
CN_60DC,shell,郑州中牟万邦万洪路加油站,,郑州,河南,,CN,,https://find.shell.com/cn/fuel/CN_60DC-,,Shell,Q110716465
CN_6502,shell,延长壳牌郑州尚庄加油站,,郑州,河南,,CN,+86 176 3857 8855,https://find.shell.com/cn/fuel/CN_6502-,24/7,Shell,Q110716465
CN_60H8,shell,尉氏人民路加油站,,开封,河南,,CN,+86 188 3978 6518,https://find.shell.com/cn/fuel/CN_60H8-,,Shell,Q110716465
CN_60DH,shell,郑州陇海西路加油站,,郑州,河南,,CN,,https://find.shell.com/cn/fuel/CN_60DH-,,Shell,Q110716465
CN_60GI,shell,郑州市西绕城高速路加油站,,郑州,河南,,CN,+86 132 9815 9190,https://find.shell.com/cn/fuel/CN_60GI-,,Shell,Q110716465
CN_60GC,shell,荥阳郑上路福田加油站,,荥阳,河南,,CN,+86 155 1589 5790,https://find.shell.com/cn/fuel/CN_60GC-,24/7,Shell,Q110716465
CN_60IM,shell,荥阳郑上路北加油站,,郑州,河南,,CN,+86 166 0380 8307,https://find.shell.com/cn/fuel/CN_60IM-,24/7,Shell,Q110716465
CN_6U79,shell,原阳县原铁加油站,,新乡,河南,,CN,+86 135 9800 6634,https://find.shell.com/cn/fuel/CN_6U79-,24/7,Shell,Q110716465
CN_60GN,shell,新乡市南二环加油站,,新乡,河南,,CN,+86 132 3381 7785,https://find.shell.com/cn/fuel/CN_60GN-,24/7,Shell,Q110716465
CN_60G0,shell,新乡新飞大道加油站,,新乡,河南,,CN,+86 186 2957 0868,https://find.shell.com/cn/fuel/CN_60G0-,24/7,Shell,Q110716465
CN_60GO,shell,新乡市新二街加油站,,新乡,河南,,CN,+86 132 3381 7785,https://find.shell.com/cn/fuel/CN_60GO-,24/7,Shell,Q110716465
CN_60KI,shell,偃师古城快速路加油站,,洛阳,河南,,CN,,https://find.shell.com/cn/fuel/CN_60KI-,24/7,Shell,Q110716465
CN_60D3,shell,洛阳龙门大道加油站（太康路）,,洛阳,河南,,CN,,https://find.shell.com/cn/fuel/CN_60D3-,,Shell,Q110716465
CN_6U0H,shell,南阳郑岗加油站-DOCO,,南阳,河南,,CN,+86 130 6947 3525,https://find.shell.com/cn/fuel/CN_6U0H-doco,24/7,Shell,Q110716465
