Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,LA UNION,CARTAGO,,CR,,,,,
,visa,,,LA UNION,CARTAGO,,CR,,,,,
,visa,,,TRES RIOS,CARTAGO,,CR,,,,,
,visa,,,LA UNION,CARTAGO,,CR,,,,,
11c6d9465ed5ce65627b67e0ba07b7f6,western_union,AIRPAK TRES RIOS,,Tres Rios,CARTAGO,,CR,+506 4800 1700,https://location.westernunion.com/cr/cartago/tres-rios/11c6d9465ed5ce65627b67e0ba07b7f6,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 08:00-14:00,Western Union,Q861042
20114b35dd379aae3ce1f08eaf1397aa,western_union,AIRPAK TRES RIOS,,Tres Rios,CARTAGO,,CR,+506 4800 1700,https://location.westernunion.com/cr/cartago/tres-rios/20114b35dd379aae3ce1f08eaf1397aa,Mo-Fr 08:00-19:00; Sa 08:00-18:00; Su 08:00-14:00,Western Union,Q861042
09acb4904802cbe2d16822f36ce5d4c0,western_union,WM MC MXM TRES RIOS,,La Union,CARTAGO,,CR,+506 4800 1703,https://location.westernunion.com/cr/cartago/la-union/09acb4904802cbe2d16822f36ce5d4c0,Mo 09:00-20:00; Tu 10:00-18:00; We-Th 09:00-20:00; Fr 10:00-18:00; Sa 09:00-20:00; Su 10:00-18:00,Western Union,Q861042
4f5b2bb3f3de6bcdd3efeb8d630711ff,western_union,WM MC MXM TRES RIOS,,La Union,CARTAGO,,CR,+506 4800 1703,https://location.westernunion.com/cr/cartago/la-union/4f5b2bb3f3de6bcdd3efeb8d630711ff,Mo 09:00-20:00; Tu 10:00-18:00; We-Th 09:00-20:00; Fr 10:00-18:00; Sa 09:00-20:00; Su 10:00-18:00,Western Union,Q861042
a68191e628a3ce7669793aeac6233440,western_union,WM KC PALI TRES RIOS,,Tres Rios,CARTAGO,,CR,+506 4800 1703,https://location.westernunion.com/cr/cartago/tres-rios/a68191e628a3ce7669793aeac6233440,Mo-Su 07:00-21:00,Western Union,Q861042
d7460d7d371df2fa09767a7e7781bb45,western_union,WM KC PALI TRES RIOS,,Tres Rios,CARTAGO,,CR,+506 4800 1703,https://location.westernunion.com/cr/cartago/tres-rios/d7460d7d371df2fa09767a7e7781bb45,Mo-Su 07:00-21:00,Western Union,Q861042
