City,Place Name,Zipcode,Name
Heredia,fedex,,unknown,Centro de Envío FedEx
unknown,hooters,Paseo de las Flores 100 metros Norte Plaza Bratsi San Jose Costa Rica,unknown,Hooters
Heredia,nissan_europe,,unknown,Agencia Datsun Paseo de las Flores
SARAPIQUI,visa,,unknown,unknown
HEREDIA,visa,,unknown,unknown
SAN JOSÉ,visa,,unknown,unknown
SAN ISIDRO,visa,,unknown,unknown
SAN ISIDRO DE HEREDIA,visa,,unknown,unknown
SANTO DOMINGO,visa,,unknown,unknown
SAN RAFAEL,visa,,unknown,unknown
SAN PABLO DE HEREDIA,visa,,unknown,unknown
SAN PABLO,visa,,unknown,unknown
BARVA,visa,,unknown,unknown
BARBA,visa,,unknown,unknown
FLORES,visa,,unknown,unknown
BELEN,visa,,unknown,unknown
BARREAL,visa,,unknown,unknown
SANTA BARBARA,visa,,unknown,unknown
CARIARI,visa,,unknown,unknown
SAN ANTONIO,visa,,unknown,unknown
JACO,visa,,unknown,unknown
HERRADURA,visa,,unknown,unknown
Sarapiqui,western_union,,unknown,TIENDA JOBECA
Rio Frio,western_union,,unknown,WM KC PALI RIO FRIO
Santa Barbara,western_union,,unknown,PRIDES BAZAR GENESIS 1
Barva,western_union,,unknown,WM KC PALI BARVA
San Isidro,western_union,,unknown,WM MC MXM SAN ISIDRO DE HEREDIA
Heredia,western_union,,unknown,WM MC WALMART HEREDIA ESTE
San Pablo,western_union,,unknown,WM MC MXM SAN PABLO
San Rafael,western_union,,unknown,WM KC PALI SAN RAFAEL ABAJO
Flores,western_union,,unknown,WM MC MXM SAN JOAQUIN
Mercedes Norte,western_union,,unknown,WM KC MAXI PALI MERCEDES NORTE
San Joaquin De Flores,western_union,,unknown,CR AIRPAK PALI SAN JOAQUIN DE FLORES
Mercedes Sur,western_union,,unknown,WM KC PALI MERCEDES SUR
Belen,western_union,,unknown,WM MC MXM BELEN
San Miguel,western_union,,unknown,WM KC PALI SAN MIGUEL STO DOMINGO
Santo Domingo,western_union,,unknown,SUPER COMPRO SANTA ROSA
Paseo De Las Flores,western_union,,unknown,WM MC MXM PASEO DE LAS FLORES
Ulloa,western_union,,unknown,BN SERVICIOS LOS RODRIGUEZ
San Francisco,western_union,,unknown,EKONO OXIGENO
Santa Rosa,western_union,,unknown,WM KC PALI SANTA ROSA HEREDIA
Lagos,western_union,,unknown,WM KC PALI LOS LAGOS
Aurora,western_union,,unknown,WM KC PALI AURORA
Lagunilla,western_union,,unknown,WM KC MAXI PALI LAGUNILLA HEREDIA
