Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,SANTA ANA,SAN JOSE,,CR,,,,,
ac653b7fcab54f5750a025f475f239d7,western_union,AIRPAK SANTA ANA 2000,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/ac653b7fcab54f5750a025f475f239d7,Mo-Fr 08:00-19:00; Sa 09:00-17:00,Western Union,Q861042
9101013fc20d1320a86e5ddda6a4b45f,western_union,TELEDOLAR MEGASUPER ESCAZU SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 2282 1123,https://location.westernunion.com/cr/san-jose/santa-ana/9101013fc20d1320a86e5ddda6a4b45f,Mo-Su 09:00-20:00,Western Union,Q861042
1f2aa48c3caf1222d92687c0e77182b8,western_union,MINISUPER LA FLOR,,Santa Ana,SAN JOSE,,CR,+506 2203 6918,https://location.westernunion.com/cr/san-jose/santa-ana/1f2aa48c3caf1222d92687c0e77182b8,Mo-Su 07:00-20:00,Western Union,Q861042
551e4da56b90474102d215b086a2dc8d,western_union,MINISUPER LA FLOR,,Santa Ana,SAN JOSE,,CR,+506 2203 6918,https://location.westernunion.com/cr/san-jose/santa-ana/551e4da56b90474102d215b086a2dc8d,Mo-Su 07:00-20:00,Western Union,Q861042
088a7d51f09dd2afbc3513dafb3f4025,western_union,AIRPAK SANTA ANA 2000,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/088a7d51f09dd2afbc3513dafb3f4025,Mo-Fr 08:00-19:00; Sa 09:00-17:00,Western Union,Q861042
76cfe2edc2818fd0025b3fcea6584c35,western_union,WM MC MXM SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/76cfe2edc2818fd0025b3fcea6584c35,Mo-Sa 08:00-20:00; Su 10:00-18:00,Western Union,Q861042
65b61fb8a528dedcf7fe91ad1351d5cc,western_union,WM MC MXM SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/65b61fb8a528dedcf7fe91ad1351d5cc,Mo-Sa 08:00-20:00; Su 10:00-18:00,Western Union,Q861042
51ec9b8108c6558888761b966ae3b5c7,western_union,CR AIRPAK MAXI PALI SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1700,https://location.westernunion.com/cr/san-jose/santa-ana/51ec9b8108c6558888761b966ae3b5c7,Mo-Sa 08:00-18:00; Su 09:00-17:00,Western Union,Q861042
a65beebf4a9aa1468dd66228f308b286,western_union,CR AIRPAK MAXI PALI SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1700,https://location.westernunion.com/cr/san-jose/santa-ana/a65beebf4a9aa1468dd66228f308b286,Mo-Sa 08:00-18:00; Su 09:00-17:00,Western Union,Q861042
5d9a310cd45546d73053ef2141d86331,western_union,WM KC PALI SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/5d9a310cd45546d73053ef2141d86331,Mo-Sa 08:00-20:30; Su 08:00-19:00,Western Union,Q861042
7f162bef094f843ea872b0d934fdc6cf,western_union,WM KC PALI SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 4800 1703,https://location.westernunion.com/cr/san-jose/santa-ana/7f162bef094f843ea872b0d934fdc6cf,Mo-Sa 08:00-20:30; Su 08:00-19:00,Western Union,Q861042
84607517e3d20ae5ddf6e519e5e4d7dd,western_union,EKONO SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 2573 1300,https://location.westernunion.com/cr/san-jose/santa-ana/84607517e3d20ae5ddf6e519e5e4d7dd,Mo-Sa 09:00-20:00; Su 09:30-18:00,Western Union,Q861042
93ed81aa65573379499f6942b43260fa,western_union,EKONO SANTA ANA,,Santa Ana,SAN JOSE,,CR,+506 2282 5520,https://location.westernunion.com/cr/san-jose/santa-ana/93ed81aa65573379499f6942b43260fa,Mo-Sa 09:00-20:00; Su 09:30-18:00,Western Union,Q861042
