Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1141,kfc_amrest,KFC Ostrava Dubina DT,,Ostrava,Moravskoslezsky,,CZ,+420 720 824 986,,Mo-Su 07:00-24:00,KFC,Q524757
880,kfc_amrest,KFC Ostrava Avion,,Ostrava,Moravskoslezsky,,CZ,+420 724 978 840,,Mo-Th 08:00-21:30; Fr-Sa 08:00-22:00; Su 08:00-21:30,KFC,Q524757
1005731,starbucks_eu,Ostrava Avion,"Rudna 3114/114, 700 30 Ostrava",Ostrava,Moravskoslezsky,,CZ,+420 235 013 538,,,Starbucks,Q37158
,visa,,,OSTRAVA - DUBINA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,MORAVSKOSLEZSKY,,CZ,,,,,
,visa,,,OSTRAVA - VYSKOVICE,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - DUBINA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - DUBINA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,MORAVSKOSLEZSKY,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - ZABREH,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - ZABREH,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - HRABUVKA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,MORAVSKOSLEZSKY,,CZ,,,,,
,visa,,,OSTRAVA,MORAVSKOSLEZSKY,,CZ,,,,,
,visa,,,OSTRAVA,MORAVSKOSLEZSKY,,CZ,,,,,
,visa,,,OSTRAVA - ZABREH,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - ZABREH,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA - ZABREH,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
,visa,,,OSTRAVA,Moravskoslezsky,,CZ,,,,,
