Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
3546,orlen,"Benzina Šumperk, Jesenická",,Šumperk,Olomoucky,,CZ,---,,,Benzina,Q11130894
2789,orlen,Benzina Šumperk,,Šumperk,Olomoucky,,CZ,---,,,Benzina,Q11130894
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,OLOMOUCKY,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,OLOMOUCKY,,CZ,,,,,
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,SUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,OLOMOUCKY,,CZ,,,,,
,visa,,,ŠUMPERK,OLOMOUCKY,,CZ,,,,,
,visa,,,ŠUMPERK,Olomoucky,,CZ,,,,,
,visa,,,ŠUMPERK,OLOMOUCKY,,CZ,,,,,
