Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
,visa,,,BRECLAV,South Moravian,,CZ,,,,,
,visa,,,BRECLAV,South Moravian,,CZ,,,,,
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
,visa,,,BRECLAV,South Moravian,,CZ,,,,,
,visa,,,BRECLAV,South Moravian,,CZ,,,,,
,visa,,,BRECLAV,South Moravian,,CZ,,,,,
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
,visa,,,BŘECLAV,South Moravian,,CZ,,,,,
