Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
55186891,deichmann,DEICHMANN Filiale Ergolding Industriestraße 40,,Ergolding,Bayern,,DE,+49 871 770656,https://stores.deichmann.com/de-de/de/bayern/ergolding/industriestrasse-40,Mo-Sa 09:00-20:00,Deichmann,Q664543
10004901,edeka_de,EDEKA,,Ergolding,Bayern,,DE,+49 871 770850,https://www.edeka.de/eh/südbayern/edeka-industriestraße-10/index-2.jsp,Mo-Sa 07:00-20:00,EDEKA,Q701755
https://www.kieser.de/studios/landshut/,kieser_training_de,Kieser Landshut,,Landshut-Ergolding,Bayern,,DE,,https://www.kieser.de/studios/landshut/,Mo-Fr 07:30-21:30; Sa-Su 09:00-18:00,Kieser Training,Q1112367
GS0017873,mercedes_benz,Schreiner & Wöllenstein GmbH & Co. KG,,Ergolding,Bayern,,DE,+49 871 7590,https://www.mercedes-benz-schreiner-woellenstein.de,,Mercedes-Benz,Q36008
GS0000547,mercedes_benz,Schreiner & Wöllenstein GmbH & Co. KG,,Ergolding,Bayern,,DE,+49 871 7590,https://www.mercedes-benz-schreiner-woellenstein.de,"Mo-Fr 08:00-18:00; Sa 09:00-12:00,09:00-14:00",Mercedes-Benz,Q36008
1245,netto_de,Netto Marken-Discount,,Ergolding,Bayern,,DE,,https://www.netto-online.de/filialen/ergolding/rottenburger-str-31/1245,Mo-Sa 07:00-20:00,Netto Marken-Discount,Q879858
1391,netto_de,Netto Marken-Discount,,Landshut,Bayern,,DE,,https://www.netto-online.de/filialen/landshut/waldkirchener-str-1/1391,Mo-Sa 07:00-20:00,Netto Marken-Discount,Q879858
https://www.obi.de/markt/landshut,obi_eu,Obi Markt Landshut,,Landshut,Bayern,,DE,+49 871 974260,https://www.obi.de/markt/landshut,Mo-Sa 08:00-20:00,OBI,Q300518
03f5a6f4-f9a5-3508-97be-4df4a9f395f8,penny_de,Penny Porschestraße,,Landshut,Bayern,,DE,,https://www.penny.de/markt/landshut/324053/penny-porschestrasse-porschestr-24,Mo-Sa 07:30-20:00,Penny,Q284688
36b7b9c4-ba6f-3140-b331-49fdc171da3e,penny_de,Penny Ergoldinger Straße,,Landshut,Bayern,,DE,,https://www.penny.de/markt/landshut/830810/penny-ergoldinger-strasse-ergoldinger-strasse-2-c,Mo-Sa 07:30-20:00,Penny,Q284688
12592590,shell,"LANDSHUT, ALTDORFER",,LANDSHUT,Bayern,,DE,+49 871 9753550,https://find.shell.com/de/fuel/12592590-landshut-altdorfer,,Shell,Q110716465
LES,storebox,Storebox Landshut Ergolding,"Siemensstraße 20, 84030 Landshut, Deutschland ",Landshut,Bayern,,DE,,https://www.yourstorebox.com/en/location-details/storebox-landshut-ergolding,,Storebox,Q117430004
5273,tedi,TEDi GmbH & Co. KG,,Landshut,BAYERN,,DE,+49 231 555770,https://www.tedi.com/stores/5273/de/BAYERN/Landshut/Hascherkeller/Landshut-Industriegebiet-Straubinger-Str-10a,Mo-Sa 00:00-24:00,TEDi,Q1364603
4181,tedi,TEDi GmbH & Co. KG,,Ergolding,BAYERN,,DE,+49 231 555770,https://www.tedi.com/stores/4181/de/BAYERN/Ergolding/Alte-Regensburger-Str-18,Mo-Sa 00:00-24:00,TEDi,Q1364603
