Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
DE020001,aldi_nord_de,ALDI Nord,,Berlin,Berlin,,DE,+49 800 7234870,,Mo-Sa 07:00-21:00,ALDI Nord,Q41171373
310,das_futterhaus,Das Futterhaus Berlin-Kreuzberg,,Berlin-Kreuzberg,Berlin,,DE,+49 30 61209038,,Mo-Sa 10:00-20:00,Das Futterhaus,Q1167914
20666,edeka_de,EDEKA Siebert,,Berlin,Berlin,,DE,+49 30 69001182,https://www.edeka.de/eh/minden-hannover/edeka-siebert-hasenheide-57/index.jsp,Mo-Sa 07:00-22:00,EDEKA,Q701755
543139,edeka_de,EDEKA Fiebig,,Berlin,Berlin,,DE,+49 30 6937139,https://www.edeka.de/eh/minden-hannover/edeka-fiebig-kottbusser-damm-80/index.jsp,Mo-Sa 08:00-20:00,EDEKA,Q701755
2669874,edeka_de,EDEKA Fiebig,,Berlin,Berlin,,DE,+49 30 62731910,https://www.edeka.de/eh/minden-hannover/edeka-fiebig-hasenheide-107-108/index.jsp,Mo-Sa 08:00-21:00,EDEKA,Q701755
8000841,edeka_de,EDEKA Brehm,,Berlin,Berlin,,DE,+49 30 616281810,https://www.edeka.de/eh/minden-hannover/edeka-brehm-kottbusser-damm-5/index.jsp,Mo-Sa 08:00-20:00,EDEKA,Q701755
001101,karstadt_de,GALERIA Berlin Hermannplatz,,Berlin,Berlin,,DE,+49 30 69550,,Mo-Sa 10:00-20:00,Karstadt,Q182910
7761,netto_de,Netto Marken-Discount,,Berlin-Kreuzberg,Berlin,,DE,,https://www.netto-online.de/filialen/berlin-kreuzberg/kottbusser-damm-1/7761,Mo-Sa 07:00-24:00,Netto Marken-Discount,Q879858
7764,netto_de,Netto Marken-Discount,,Berlin-Kreuzberg,Berlin,,DE,,https://www.netto-online.de/filialen/berlin-kreuzberg/urbanstr-122/7764,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
010ed1be-3949-354e-a026-eebbdb41fd09,penny_de,Penny Am Hermannplatz,,Berlin,Berlin,,DE,,https://www.penny.de/markt/berlin/4030097/penny-am-hermannplatz-kottbusser-damm-66,Mo-Th 07:00-22:00; Sa 07:00-22:00,Penny,Q284688
4503,santander_de,Santander,,Berlin,Berlin,,DE,+49 30 6887420,,"Mo-Tu 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00",Santander,Q875292
BKG,storebox,Storebox Berlin Hasenheide,"Graefestraße 47, 10967 Berlin, Deutschland ",Berlin,Berlin,,DE,,https://www.yourstorebox.com/en/location-details/storebox-berlin-hasenheide,,Storebox,Q117430004
,visa,,,BERLIN STNR 0144 RG 2,BERLIN,,DE,,,,,
,visa,,,BERLIN STNR 0614 RG 2,BERLIN,,DE,,,,,
48bb0aaac7fd472acdb88cdfdd668abb,western_union,KORHANCELL,,Berlin,BERLIN,,DE,+49 178 8420126,https://location.westernunion.com/de/berlin/berlin/48bb0aaac7fd472acdb88cdfdd668abb,Mo-Sa 10:00-20:00,Western Union,Q861042
f52c2d48ee06dd4abf635713771dc9d4,western_union,TABAKWAREN ZEITUNGEN CELIK,,Berlin,BERLIN,,DE,+49 30 6911226,https://location.westernunion.com/de/berlin/berlin/f52c2d48ee06dd4abf635713771dc9d4,Mo-Fr 06:30-21:30; Sa 07:30-21:30; Su 08:00-16:00,Western Union,Q861042
57dea0189b1cc9de52f99f7b7ded673f,western_union,BURCAK 36,,Berlin,BERLIN,,DE,+49 30 25742477,https://location.westernunion.com/de/berlin/berlin/57dea0189b1cc9de52f99f7b7ded673f,Mo-Su 00:01-24:00,Western Union,Q861042
fa2d858531d438eacb4ce008b7440ed0,western_union,INTERNETCAFE ALTAN,,Berlin,BERLIN,,DE,(+49) 00800-20010001,https://location.westernunion.com/de/berlin/berlin/fa2d858531d438eacb4ce008b7440ed0,Mo-Sa 09:00-19:00,Western Union,Q861042
